Disease,symptoms
Genital warts,genital warts tiny you cannot them warts females genital warts males genital warts genital warts symptoms rare flesh-colored spots raised flat growths top cauliflower vagina anus vagina anus nearby skin cervix penis scrotum groin thighs anus lips mouth tongue throat increased dampness genital warts increased vaginal discharge genital itching vaginal bleeding sex
Pelvic inflammatory disease (PID),common symptoms pid symptoms pid you pid severe symptoms chlamydia pid no symptoms who ectopic pregnancy who infertile pid chlamydia ectopic pregnancy when egg grows uterus puts mother's life danger fever pain tenderness pelvis lower belly lower back fluid your vagina unusual color texture smell bleeding intercourse chills being tired pain when you urinate having urinate period cramps hurt usual last longer usual unusual bleeding spotting your period hungry nausea vomiting skipping your period pain when you intercourse
Ovarian cancer,ovarian cancer symptoms vague their doctors blame symptoms common conditions cancer diagnosed tumor spread ovaries your you symptoms daily basis few weeks symptoms bloating swelling belly difficulty eating full quickly early satiety pelvic lower abdominal pain heavy back pain swollen lymph nodes groin excessive hair growth coarse dark sudden urge urinate needing urinate usual increased urinary frequency urgency constipation
HELLP syndrome,symptoms fatigue unwell fluid retention excess weight gain headache nausea vomiting continues worse pain upper right mid abdomen blurry vision nosebleed bleeding stop easily rare seizures convulsions rare
Stress urinary incontinence,main symptom stress incontinence leaking urine when you physically active cough sneeze exercise stand sitting lying down position
Vaginal dryness,symptoms burning urination light bleeding intercourse painful sexual intercourse slight vaginal discharge vaginal soreness itching burning
Cervical cancer,early cervical cancer no symptoms symptoms cervical cancer spread vagina lymph nodes bladder intestines lungs bones liver there no problems symptoms cancer advanced spread symptoms advanced cervical cancer abnormal vaginal bleeding periods intercourse menopause vaginal discharge stop pale watery pink brown bloody foul-smelling periods heavier last longer usual abdominal pain back pain bone pain fractures fatigue leaking urine feces vagina leg pain loss appetite pelvic pain single swollen leg weight loss
Menopause,symptoms vary they last 5 years symptoms worse others symptoms surgical menopause severe start suddenly you notice periods start change they might might their period 3 weeks starting skip periods you irregular periods 1 3 years they stop completely common symptoms menopause symptoms menopause menstrual periods eventually stop heart pounding racing hot flashes worst 1 2 years night sweats skin flushing sleeping problems insomnia decreased interest sex changes sexual response forgetfulness headaches mood swings irritability depression anxiety urine leakage vaginal dryness painful sexual intercourse vaginal infections joint aches pains irregular heartbeat palpitations
Ectopic pregnancy,symptoms ectopic pregnancy abnormal pregnancy ruptures bleeds symptoms worse they abnormal vaginal bleeding mild cramping pelvis no periods pain lower belly pelvic fainting faint intense pressure rectum low blood pressure pain shoulder severe sharp sudden pain lower abdomen
Gestational diabetes,there no symptoms diagnosis routine prenatal screening mild symptoms increased thirst shakiness these symptoms dangerous pregnant symptoms blurred vision fatigue frequent infections those bladder vagina skin increased thirst increased urination
Vulvovaginitis,symptoms irritation itching genital inflammation irritation redness swelling genital vaginal discharge foul vaginal odor discomfort burning when urinating
Preeclampsia,who preeclampsia sick symptoms preeclampsia note swelling feet ankles considered normal pregnancy symptoms severe preeclampsia swelling hands face areas eyes periorbitalâ edema sudden weight gain 1 2 days 2 pounds 0 9 kg headache go worse trouble breathing belly pain right below ribs pain right shoulder confused heartburn gallbladder pain stomach virus kicking baby urinating usual nausea vomiting worrisome sign vision changes temporary blindness flashing lights spots sensitivity light blurry vision lightheaded faint
Eclampsia,symptoms eclampsia these symptoms preeclampsia seizure seizures severe agitation unconsciousness altered mental status confusion headaches nausea vomiting stomach pain swelling hands face vision problems loss vision blurred vision double vision missing areas visual field
Placenta previa,main symptom placenta previa sudden bleeding vagina cramps bleeding starts end trimester beginning trimester bleeding severe life threatening stop its own start days weeks later labor starts several days heavy bleeding bleeding labor starts
Vulvar cancer,condition itching vagina years they skin creams they bleeding discharge their periods skin changes vulva symptoms vulvar cancer no symptoms mole freckle pink red white gray skin thickening lump skin sore ulcer especially non healing pain burning urination pain intercourse unusual odor
Abnormal uterine bleeding,aub unpredictable bleeding heavy light randomly symptoms aub symptoms changes hormone levels tired fatigued she loses too blood symptom anemia bleeding spotting vagina periods periods 28 days apart common 35 days apart periods changes heavier bleeding passing large clots needing change protection night soaking sanitary pad tampon hour 2 3 hours row bleeding lasts days normal 7 days excessive growth hair male pattern hirsutism hot flashes mood swings tenderness dryness vagina
Miscarriage - threatened,symptoms threatened miscarriage note miscarriage low back pain abdominal pain dull sharp constant intermittent tissue clot-like material pass vagina vaginal bleeding 20 weeks pregnancy last menstrual period 20 weeks ago vaginal bleeding almost threatened miscarriages abdominal cramps abdominal cramps absence significant bleeding consult your check problems threatened miscarriage
Hydatidiform mole,symptoms molar pregnancy abnormal growth uterus bigger smaller usual severe nausea vomiting vaginal bleeding 3 months pregnancy symptoms hyperthyroidism heat intolerance â loose stools rapid heart rate restlessnessâ nervousness warm moist skin trembling hands unexplained weight loss symptoms similar preeclampsia trimester early trimester high blood pressure swelling feet ankles legs almost sign hydatidiform mole because preeclampsia extremely rare early normal pregnancy
Endometrial cancer,symptoms endometrial cancer abnormal bleeding vagina bleeding periods spotting bleeding menopause extremely long heavy frequent episodes vaginal bleeding age 40 lower abdominal pain pelvic cramping
Fetal alcohol syndrome,baby fas symptoms poor growth baby womb birth decreased muscle tone poor coordination delayed developmental milestones vision difficulties nearsightedness myopia hyperactivity anxiety extreme nervousness short attention span
Fibrocystic breasts,symptoms worse right your menstrual period they tend better your period starts you heavy irregular periods your symptoms worse you birth control pills you fewer symptoms cases symptoms better menopause symptoms you lump breast larger period returns its original size afterward lump moves when pushed your fingers stuck fixed tissue lump common fibrocystic breasts pain discomfort breasts come go your period last whole breasts full swollen heavy pain discomfort arms breast lumps change size menstrual period
Breast cancer,early breast cancer symptoms why regular breast cancer screening important cancers don't symptoms earlier cancer grows symptoms breast cancer symptoms breast lump breast pain breast tenderness symptoms advanced breast cancer breast lump lump armpit hard uneven edges hurt change size shape breast nipple you redness dimpling puckering skin orange fluid nipple fluid bloody clear yellow green pus bone pain shortness breath swelling lymph nodes armpit next breast cancer weight loss
Uterine fibroids,common symptoms uterine fibroids you fibroids symptoms your them physical exam test fibroids shrink no symptoms who gone menopause recent study small fibroids shrink premenopausal bleeding periods heavy bleeding your period blood clots periods last longer normal needing urinate pelvic cramping pain periods fullness pressure your lower belly pain intercourse
Endometriosis,pain main symptom endometriosis you symptoms endometriosis you symptoms lot tissue their pelvis no pain milder disease severe pain painful periods cramps pain your lower belly begin your period cramps steady range dull severe pain sexual intercourse pain urination pain bowel movements long-term pelvic low back pain last 6 months heavy menstrual bleeding bleeding periods infertility difficulty getting staying pregnant
Generalized anxiety disorder,main symptom frequent worry tension least 6 months when there little no clear worries float problem another problems involve family relationships work school money when they aware worries fears stronger appropriate situation gad difficulty controlling them symptoms gad physical symptoms these muscle tension upset stomach sweating difficulty breathing problems concentrating fatigue irritability problems falling staying asleep sleep restless unsatisfying restlessness when awake
Persistent depressive disorder,main symptom pdd low dark sad mood days least 2 years teens mood irritable depressed lasts least 1 addition symptoms almost pdd negative discouraging view themselves their future life events problems hard solve feelings hopelessness too little too sleep low energy fatigue low self-esteem poor appetite overeating poor concentration
Conduct disorder,conduct disorder tend impulsive hard control concerned feelings symptoms these no effort hide their aggressive behaviors they hard making real friends breaking rules clear reason cruel aggressive behavior animals bullying fighting dangerous weapons forcing sexual activity stealing going school truancy beginning age 13 heavy drinking drug intentionally setting fires lying favor avoid they running vandalizing destroying property
Schizoid personality disorder,schizoid personality disorder distant detached avoids social activities involve emotional closeness want enjoy relationships family members
Antisocial personality disorder,antisocial personality disorder able act witty charming good flattery manipulating people's emotions break law repeatedly disregard safety self others problems substance abuse lie steal fight guilt remorse angry arrogant
Agoraphobia,agoraphobia you avoid places situations because you safe public places fear worse when crowded symptoms agoraphobia physical symptoms being afraid spending alone being afraid places where escape might hard being afraid losing control public depending others detached separated others helpless real environment real having unusual temper agitation staying house long periods chest pain discomfort choking dizziness fainting nausea stomach distress racing heart short breath sweating trembling
Panic disorder,panic attack begins suddenly peaks 10 20 minutes symptoms continue hour panic attack mistaken heart attack panic disorder lives fear another attack afraid alone medical help panic disorder least 4 symptoms attack panic attacks change behavior function home school work disorder worry effects their panic attacks panic disorder misuse alcohol substances they sad depressed panic attacks cannot predicted least early stages disorder there no trigger starts attack recalling attack trigger panic attacks chest pain discomfort dizziness faint fear dying fear losing control impending doom choking feelings detachment feelings unreality nausea upset stomach numbness tingling hands feet face palpitations fast heart rate pounding heart sensation shortness breath smothering sweating chills hot flashes trembling shaking
Post-traumatic stress disorder,there 4 types ptsd symptoms 1 reliving event disturbs day-to-day activity 2 avoidance 3 hyperarousal 4 negative thoughts mood feelings you symptoms anxiety stress tension flashback episodes event happening repeated upsetting memories event repeated nightmares event strong uncomfortable reactions situations remind you event emotional numbing you detached able remember important parts event interested normal activities your moods avoiding places thoughts remind you event you no future scanning your surroundings signs danger hypervigilance able concentrate startling easily irritable having outbursts anger trouble falling staying asleep constant guilt event survivor guilt blaming others event being able recall important parts event loss interest activities agitation excitability dizziness fainting your heart beat your chest headache
Bipolar disorder,manic phase last days months these symptoms depressive episode these symptoms bipolar disorder high risk suicide they alcohol substances bipolar symptoms worse increase risk suicide episodes depression common episodes mania pattern bipolar disorder easily distracted excess involvement activities little need sleep poor judgment poor temper control lack self-control reckless behavior drinking illegal drugs excess having increased risky sex gambling spending giving lot money irritable mood racing thoughts talking lot false beliefs self abilities rapid speech concerns true delusions daily low mood sadness problems concentrating remembering making decisions eating problems loss appetite weight loss overeating weight gain fatigue lack energy feelings worthlessness hopelessness guilt loss pleasure activities enjoyed loss self-esteem thoughts death suicide trouble getting sleep sleeping too pulling friends activities enjoyed depression mania symptoms together called mixed state symptoms right called rapid cycling
Schizophrenia,symptoms slowly months years symptoms only few schizophrenia trouble keeping friends jobs they problems anxiety depression suicidal thoughts behaviors early symptoms illness continues problems thinking emotions behavior irritable tense feelings trouble concentrating trouble sleeping hearing there hallucinations isolation reduced emotions tone voice expression face problems understanding making decisions problems paying attention activities strongly held beliefs real delusions talking sense
Obsessive-compulsive disorder,ocd repeated thoughts urges mental images anxiety these called obsessions they perform repeated behaviors response their thoughts obsessions these called compulsions who habits rituals they perform ocd ocd ocd tic disorder excessive fear germs forbidden thoughts related sex religion harm others self need order checking rechecking actions turning out lights locking door excessive counting ordering certain repeatedly washing hands ward off infection repeating words silently praying silently able control their thoughts behaviors when they understand they excessive spends least hour these thoughts behaviors pleasure performing behavior ritual perhaps brief relief anxiety major problems daily life these thoughts rituals eye blinking facial grimacing shoulder shrugging head jerking repeated clearing throat sniffing grunting sounds
Schizoaffective disorder,symptoms schizoaffective disorder schizoaffective disorder seek treatment problems mood daily function abnormal thoughts psychosis mood problems themselves disorder involve cycles severe symptoms followed improvement symptoms schizoaffective disorder changes appetite energy disorganized speech logical false beliefs delusions thinking trying harm you paranoia thinking special messages hidden common places delusions reference lack concern hygiene grooming mood too good depressed irritable problems sleeping problems concentration sadness hopelessness hearing there hallucinations social isolation speaking quickly others cannot interrupt you
Adjustment disorder,symptoms adjustment disorder severe enough affect work social life symptoms adjustment disorder you must symptoms severe thoughts suicide suicide attempt acting defiant impulsive behavior acting nervous tense crying sad hopeless possibly withdrawing skipped heartbeats physical complaints trembling twitching symptoms clearly come stressor 3 months symptoms severe expected there disorders involved symptoms normal grieving death loved
Major depression with psychotic features,psychotic depression symptoms depressionâ psychosis psychosis loss contact reality types delusions hallucinations related your depressed feelings hear voices criticizing them telling them they don't deserve live false beliefs their believing they cancer delusions false beliefs what taking who hallucinations hearing aren't there
Narcissistic personality disorder,disorder react criticism rage shame humiliation advantage achieve his her own goals excessive feelings self-importance exaggerate achievements talents preoccupied fantasies success power beauty intelligence ideal love unreasonable expectations favorable treatment need constant attention admiration disregard feelings others little ability empathy obsessive self-interest pursue mainly selfish goals
Borderline personality disorder,bpd lack confidence how they view themselves how they judged others their interests values change rapidly they tend view terms extremes good bad their views change quickly who up down next these suddenly shifting feelings intense unstable relationships symptoms bpd intense fear being abandoned can't tolerate being alone feelings emptiness boredom displays inappropriate anger impulsiveness substance sexual relationships self-injury wrist cutting overdosing
Paranoid personality disorder,ppd suspicious they severely limit their social lives they they danger evidence support their suspicions they trouble their distrust out proportion their environment common symptoms concern hidden motives thinking they exploited harmed others able work together others social isolation detachment hostility
Personality disorders,symptoms vary widely depending personality disorder general personality disorders involve feelings thoughts behaviors don't adapt well wide range settings these patterns begin teens problems social work situations severity these conditions ranges mild severe
Avoidant personality disorder,disorder cannot stop thinking their own shortcomings they relationships only they believe they rejected loss rejection painful these choose lonely rather risk trying connect others avoidant personality disorder easily hurt when criticize disapprove them hold back too intimate relationships reluctant involved avoid activities jobs involve contact others shy social situations out fear doing wrong potential difficulties worse they hold view they good socially good unappealing
Dependent personality disorder,disorder don't trust their own ability decisions they upset separation loss they go great lengths suffering abuse stay relationship symptoms dependent personality disorder avoiding being alone avoiding personal responsibility becoming easily hurt criticism disapproval becoming overly focused fears being abandoned becoming passive relationships upset helpless when relationships end having difficulty making decisions support others having problems expressing disagreements others
Obsessive-compulsive personality disorder,ocpd symptoms obsessive-compulsive disorder ocd ocd unwanted thoughts ocpd believe their thoughts correct addition ocd begins childhood ocpd starts teen years early 20s ocpd ocd high achievers sense urgency their actions they upset interfere their rigid routines they able express their anger directly ocpd feelings they consider appropriate anxiety frustration ocpd symptoms perfectionism begin early adulthood perfectionism interfere person's ability complete tasks because their standards rigid they withdraw emotionally when they able control situation interfere their ability solve problems relationships signs ocpd over-devotion work being able throw when objects no value lack flexibility lack generosity wanting allow willing affection preoccupation details rules
Alcohol use disorder,providers symptoms diagnosed alcohol disorder symptoms drinking longer you planned times wanting trying cut down stop drinking spending lot effort alcohol recover its effects craving alcohol having strong urge missing work school performing well because drinking continuing drink when harms your relationships family friends no longer taking activities you enjoy getting into situations you hurt driving machinery having unsafe sex drinking continuing drink making problem alcohol worse needing alcohol its effects drunk called tolerance getting withdrawal symptoms when effects alcohol wear off
Major depression,depression change distort you yourself your life those you depression you negative hard you imagine problem situation solved positive symptoms depression depression teens harder recognize problems school behavior alcohol drug signs depression severe you hallucinations delusions false beliefs condition called depression psychotic features agitation restlessness irritability anger becoming withdrawn isolated fatigue lack energy hopeless helpless worthless guilty self-hate loss interest pleasure activities enjoyed sex sudden change appetite weight gain loss thoughts death suicide trouble concentrating trouble sleeping sleeping too
Cocaine intoxication,symptoms cocaine intoxication higher doses overdose severe symptoms cocaine cut mixed substances when â additional symptoms feeing high excited talking rambling bad happening anxiety agitation restlessness confusion muscle tremors face fingers enlarged pupils don't smaller when light shines into eyes increased heart rate blood pressure lightheadedness paleness nausea vomiting fever sweating seizures loss awareness surroundings loss urine control high temperature severe sweating high blood pressure fast heart rate irregular heart rhythm bluish color skin fast difficulty breathing death
Cocaine withdrawal,symptoms cocaine withdrawal craving depression last months stopping long-term heavy withdrawal symptoms associated suicidal thoughts withdrawal there powerful intense cravings cocaine high associated ongoing pleasant produce fear extreme suspicion rather euphoria cravings remain powerful agitation restless behavior depressed mood fatigue general discomfort increased appetite vivid unpleasant dreams slowing activity psychomotor retardation
Opioid intoxication,symptoms depend how drug symptoms opioid intoxication altered mental status confusion delirium decreased awareness responsiveness breathing problems breathing slow eventually stop extreme sleepiness loss alertness nausea vomiting small pupils
Opiate and opioid withdrawal,early symptoms withdrawal late symptoms withdrawal these symptoms uncomfortable life threatening symptoms start 12 hours last heroin usage 30 hours last methadone exposure agitation anxiety muscle aches increased tearing insomnia runny nose sweating yawning abdominal cramping diarrhea dilated pupils goosebumps nausea vomiting
Barbiturate intoxication and overdose,symptoms barbiturate intoxication overdose excessive long-term barbiturates phenobarbital produce chronic symptoms altered level consciousness difficulty thinking drowsiness coma faulty judgment lack coordination shallow breathing slow slurred speech sluggishness staggering difficulty balance changes alertness decreased functioning irritability memory loss
Marijuana intoxication,intoxicating effects marijuana relaxation sleepiness mild euphoria getting high smoking marijuana fast predictable signs symptoms eating marijuana slower predictable effects marijuana undesirable effects increase higher doses these effects serious effects panic paranoia acute psychosis common users those who psychiatric disease degree these effects varies well amount strength marijuana marijuana contaminated dangerous drugs serious effects marijuana confirmed cases exceedingly rare reports us turned out false agricultural products marijuana contaminated pesticides microbes heavy metals these contaminants serious effects decreased short-term memory dry mouth impaired perception motor skills red eyes
Nicotine and tobacco,nicotine effects symptoms nicotine withdrawal 2 3 hours you last tobacco who smoked longest smoked greater number cigarettes likely withdrawal symptoms those who quitting symptoms peak 2 3 days later common symptoms you notice these symptoms when switching regular low-nicotine cigarettes reducing number cigarettes you smoke decrease appetite fear weight gain unwilling stop smoking boost mood sense well-being possibly relieve minor depression increase activity intestines create saliva phlegm increase heart rate 10 20 beats minute increase blood pressure 5 10 mm hg possibly sweating nausea diarrhea stimulate memory alertness who tobacco depend help them accomplish certain tasks perform well â intense craving nicotine anxiety depression drowsiness trouble sleeping bad dreams nightmares tense restless frustrated headaches increased appetite weight gain problems concentrating
Functional neurological disorder,fnd variety symptoms affect movement senses thinking vision problems double vision blindness speech problems slurred speech loss speech numbness loss sensation hearing problems memory problems trouble concentrating pain fatigue weakness paralysis tremors spasms jerkiness tics involuntary repetitive movements difficulty walking loss balance difficulty swallowing seizures episodes shaking loss consciousness epilepsy
Somatic symptom disorder,physical symptoms ssd symptoms mild severe there symptoms they come go change symptoms medical condition they no clear how behave response these physical sensations main symptoms ssd these reactions must persist 6 months ssd pain fatigue weakness shortness breath extreme anxiety symptoms concern mild symptoms sign serious disease go multiple tests procedures believe they normal their symptoms seriously enough done good job treating problem spend lot energy dealing concerns trouble functioning because thoughts feelings behaviors symptoms
Phobia - simple/specific,being exposed feared object thinking being exposed anxiety reaction you avoid settings you come into contact feared object animal you avoid driving tunnels tunnels your phobia avoidance interfere your job social life fear anxiety stronger real threat you sweat excessively problems controlling your muscles actions fast heart rate
Social anxiety disorder,social anxiety disorder anxious self-conscious everyday social situations they intense persistent chronic fear being watched judged others doing embarrass them they worry days weeks dreaded situation fear severe interferes work school ordinary activities hard keep friends common fears disorder physical symptoms social anxiety disorder shyness shy able participate social functions social anxiety disorder affects ability function work relationships attending parties social occasions eating drinking writing public meeting speaking public public restrooms blushing difficulty talking nausea profuse sweating trembling
Intussusception â?? children,sign intussusception sudden loud crying abdominal pain pain colicky continuous intermittent comes back pain stronger last longer returns infant severe abdominal pain draw knees chest crying symptoms bloody mucus-like bowel movement called currant jelly stool fever shock pale color lethargy sweating stool mixed blood mucus vomiting
Croup,main symptom croup cough sounds seal barking mild cold low grade fever several days having barking cough hoarse voice cough frequent trouble breathing stridor harsh crowing noise when breathing croup typically worse night lasts 3 7 nights night worst rarely croup last weeks talk your child's croup lasts longer comes back
Hernia,there no symptoms visible bulge discomfort pain discomfort worse when standing straining lifting heavy objects common complaint bump sore growing when hernia bigger small intestine stuck hole lose its blood supply called strangulation pain swelling site strangulation symptoms when surgery needed right nausea vomiting being able pass gas bowel movements
Esophageal atresia,symptoms ea bluish coloration skin cyanosis attempted feeding coughing gagging choking attempted feeding drooling vomiting poor feeding
Seborrheic dermatitis,seborrheic dermatitis several areas forms where skin oily greasy common areas scalp eyebrows eyelids creases nose lips behind ears outer ear middle chest general symptoms seborrheic dermatitis skin lesions scales plaques large greasy oily areas skin skin scales white flaking yellowish oily sticky dandruff itching itchy infected mild redness
Diaper rash,you notice your child's diaper older infants scratch when diaper removed diaper rashes spread edge diaper bright red rash bigger veryâ red scaly areas scrotum penis red scaly areas labia vagina pimples blisters ulcers large bumps sores filled pus smaller red patches called satellite lesions grow blend patches
Hand-foot-mouth disease,contact virus start symptoms 3 7 days symptoms fever headache loss appetite rash small blisters hands feet diaper tender painful when pressed sore throat ulcers throat tonsils mouth tongue
Breath-holding spell,breath-holding spells when suddenly upset surprised short gasp exhales stops breathing child's nervous system slows heart rate breathing short amount breath holding spells thought willful act defiance they temper tantrums symptoms normal breathing starts brief period unconsciousness child's color improves breath several times only rare occasions blue cyanosis pale skin crying then no breathing fainting loss alertness unconsciousness jerky movements short seizure-like movements
Roseola,becoming infected beginning symptoms incubation period 5 15 days symptoms 2 4 days becoming sick child's fever lowers rash rash rash lasts few hours 2 3 days itch eye redness irritability runny nose sore throat high fever comes quickly high 105â f 40 5â c last 3 7 days starts middle spreads arms legs neck face pink rose-colored small sores slightly raised
Herpangina,symptoms ulcers white whitish-gray base red border they painful cases there only few sores fever headache loss appetite sore throat painful swallowing ulcers mouth throat similar sores feet hands buttocks
Pyloric stenosis in infants,vomiting symptom symptoms several weeks birth vomiting feeding only feedings vomiting starts 3 weeks age start 1 5 months age vomiting forceful projectile vomiting infant hungry vomiting wants feed abdominal pain burping constant hunger dehydration worse vomiting worse failure gain weight weight loss wave-like motion abdomen shortly feeding vomiting
Developmental dysplasia of the hip,there no symptoms symptoms newborn 3 months age affected leg turn outward shorter leg begins walking symptoms leg hip problem turn out reduced movement dislocation shorter leg hip dislocation uneven skin folds thigh buttocks waddling limping walking shorter leg walks their toes child's lower back rounded inward
Slipped capital femoral epiphysis,symptoms difficulty walking walking limp came quickly trauma knee pain hip pain hip stiffness outward-turning leg restricted hip movements
Undescended testicle,there no symptoms absence testicle scrotum called empty scrotum
Scarlet fever,infection symptoms short 1 2 days illness likely begin fever sore throat rash neck chest then spreads say sandpaper texture rash important appearance confirm diagnosis rash last rash fades skin fingertips toes groin peel symptoms abdominal pain bright red color creases underarm groin chills fever general discomfort malaise headache muscle aches sore throat swollen red tongue strawberry tongue vomiting
Bronchiolitis,few mild symptoms bronchiolitis begins mild upper respiratory infection 2 3 days breathing problems wheezing cough symptoms bluish skin lack oxygen cyanosis emergency treatment needed breathing difficulty wheezing shortness breath cough fatigue fever muscles ribs sink tries breathe called intercostal retractions infant's nostrils wide when breathing rapid breathing tachypnea
Periorbital cellulitis,symptoms condition affect vision eye pain redness eye white eye swelling eyelid whites eyes surrounding
Fifth disease,early symptoms fifth disease followed rash face joint pain swelling commonly fever headache runny nose tell-tale sign illness bright-red cheeks called slapped-cheek rash rash arms legs middle itch rash comes goes disappears 2 weeks fades center outwards lacy
Ear wax,common symptoms earache fullness ear sensation ear plugged noises ear tinnitus partial hearing loss worse
Febrile seizures,febrile seizure mild child's eyes rolling limbs stiffening simple febrile seizure stops itself few seconds 10 minutes followed brief period drowsiness confusion symptoms seizure lasting longer 15 minutes illness normal febrile seizure diagnose febrile seizure tonic-clonic seizure history seizure disorders epilepsy tonic-clonic seizure involves entire infants young important rule out first-time seizure especially meningitis bacterial infection covering brain spinal cord sudden tightening contraction muscles sides child's muscle tightening last several seconds longer cry moan standing fall vomit bite their tongue breathe begin turn blue child's then begin jerk rhythmically respond parent's voice urine passed
Toxic synovitis,symptoms aside hip discomfort ill hip pain only limp thigh pain front middle thigh knee pain low-grade fever 101â f 38 33â c only walking toes refusing walk normally
Dehydration,signs mild moderate dehydration signs severe dehydration thirst dry sticky mouth urinating darker yellow urine dry cool skin headache muscle cramps urinating dark yellow amber-colored urine dry shriveled skin irritability confusion dizziness lightheadedness rapid heartbeat rapid breathing sunken eyes listlessness shock enough blood flow unconsciousness delirium
Nursemaid's elbow,when injury begins crying right refuses arm because elbow pain hold arm slightly bent flexed elbow pressed up their belly abdominal move shoulder elbow stop crying pain goes continue refuse move their elbow
Retropharyngeal abscess,symptoms breathing difficulty difficulty swallowing drooling high fever high-pitched sound when inhaling stridor muscles ribs pull when breathing intercostal retractions severe throat pain difficulty turning head
Volvulus - childhood,common symptoms volvulus symptoms severe require emergency early treatment critical survival bloody dark red stools constipation difficulty releasing stools distended abdomen pain tenderness abdomen nausea vomiting shock vomiting green material
Peritonsillar abscess,tonsils infected infection spread tonsil then spread down into neck chest swollen tissues block airway life-threatening medical emergency abscess break open rupture into throat contents abscess travel into lungs pneumonia symptoms peritonsillar abscess fever chills severe throat pain ear pain abscess difficulty opening mouth pain opening mouth swallowing problems drooling inability swallow saliva facial neck swelling fever headache muffled voice tender glands jaw throat neck stiffness
Umbilical hernia,hernia vary width 1 centimeter cm 5 cm 1 2 2 inches there soft swelling belly button bulges when baby sits up cries strains bulge flat when infant lies back quiet umbilical hernias painless
Tracheitis,symptoms deep cough similar croup difficulty breathing high fever high-pitched breathing sound stridor
Kawasaki disease,kawasaki disease begins fever 102â f 38 9â c higher go fever high 104â f 40â c fever lasting least 5 days common sign disorder fever last up 2 weeks fever come down normal doses acetaminophen tylenol ibuprofen symptoms additional symptoms bloodshot red eyes pus drainage bright red chapped cracked lips red mucous membranes mouth strawberry tongue white coating tongue visible red bumps back tongue red swollen palms hands soles feet skin rashes middle blister-like peeling skin genital hands feet mostly nails palms soles swollen lymph nodes neck only lymph node swollen joint pain swelling sides irritability diarrhea vomiting abdominal pain cough runny nose
Asthma in children,breathing problems common they when your having hard breathing skin chest neck suck inward symptoms asthma your child's asthma symptoms vary symptoms only when triggers likely asthma symptoms night shortness breath out breath gasping air trouble breathing out exhaling breathing faster normal coughing wakes up night only symptom dark bags eyes tired irritability tightness chest whistling sound when breathing wheezing you notice when your breathes out
Failure to thrive,who fail thrive grow normally compared age they smaller shorter teenagers usual changes puberty symptoms failure thrive delayed slow who fail thrive babies who fail gain weight lack interest feeding problem receiving proper amount nutrition called poor feeding symptoms fails thrive height weight head circumference match standard growth charts weight lower percentile standard growth charts 20 below ideal weight their height growth slowed stopped physical skills rolling sitting standing walking mental social skills secondary sexual characteristics delayed adolescents constipation excessive crying excessive sleepiness lethargy irritability
Gastroschisis,gastroschisis prenatal ultrasound when baby born there hole abdominal wall small intestine abdomen umbilical cord organs abdomen large intestine stomach gallbladder intestine irritated exposure amniotic fluid baby problems absorbing food
Diskitis,symptoms abdominal pain back pain difficulty getting up standing fever typically 102â f 38 9â c lower increased curvature back irritability neck pain sweating night recent flu-like symptoms refusal sit up stand walk younger stiffness back
Omphalocele,omphalocele clearly because abdominal contents stick out belly button there sizes omphaloceles small ones only intestines remain larger ones liver organs well
Jaundice and breastfeeding,your child's skin possibly whites eyes sclerae yellow
Spinal muscular atrophy,symptoms sma vary depending sma weakness shoulder leg muscles weakness worse eventually severe symptoms infant symptoms sma nerves control sensory nerves affected disease normally infants sma i born little muscle tone weak muscles feeding breathing problems infants sma ii symptoms age 6 months 2 years iii sma milder disease starts childhood adolescence slowly worse iv milder weakness starting adulthood breathing difficulty shortness breath labored breathing lack oxygen feeding difficulty food go into windpipe stomach floppy infant poor muscle tone lack head control little movement weakness worse frequent increasingly severe respiratory infections nasal speech posture worse
Down syndrome,down syndrome symptoms vary range mild severe no matter how severe condition down syndrome widely-recognized appearance head smaller normal abnormally shaped head round flat back inner corner eyes rounded pointed common physical signs physical development slower normal down syndrome reach average height delayed mental social development common problems down syndrome grow aware their limitations they frustration anger medical conditions down syndrome decreased muscle tone birth excess skin nape neck flattened nose separated joints bones skull sutures single crease palm hand small ears small mouth upward slanting eyes wide short hands short fingers white spots colored eye brushfield spots impulsive behavior poor judgment short attention span slow learning birth defects involving heart atrial septal defect ventricular septal defect dementiaâ eye problems cataracts down syndrome need glasses early massive vomiting sign gastrointestinal blockage esophageal atresia duodenal atresia hearing problems probably repeated ear infections hip problems risk hipâ dislocation long-term chronic constipation problems sleep apnea because mouth throat airway narrowed down syndrome teeth later normal location problems chewing underactive thyroid hypothyroidism
Canker sore,canker sores inner surface cheeks lips tongue upper surface mouth base gums symptoms common symptoms pain goes 7 10 days 1 3 weeks canker sore completely heal large ulcers longer heal painful red spots bumps into open ulcer white yellow center small size inch 1 centimeter gray color healing starts fever general discomfort uneasiness malaise swollen lymph nodes
High blood pressure and eye disease,hypertensive retinopathy symptoms late disease symptoms sudden symptoms medical emergency means blood pressure high double vision dim vision vision loss headaches
