Disease Name,Symptoms
Snake bites,"Symptoms depend on the type of snake, but may include:; Rattlesnake bites are painful when they occur. Symptoms usually begin right away and may include:; Cottonmouth and copperhead bites are painful right when they occur. Symptoms, which usually begin right away, may include:; Coral snake bites may be painless at first. Major symptoms may not develop for hours. Do not make the mistake of thinking you will be fine if the bite area looks good and you are not in a lot of pain. Untreated coral snake bites can be deadly. Symptoms may include:; Bleeding from wound; Blurred vision; Burning of the skin; Seizures (convulsions); Diarrhea; Dizziness; Excessive sweating; Fainting; Fang marks in the skin; Fever; Increased thirst; Loss of muscle coordination; Nausea and vomiting; Numbness and tingling; Rapid pulse; Tissue death; Severe pain; Skin discoloration; Swelling at the site of the bite; Weakness; Bleeding; Breathing difficulty; Blurred vision; Eyelid drooping; Low blood pressure; Nausea and vomiting; Numbness; Pain at site of bite; Paralysis; Rapid pulse; Skin color changes; Swelling; Tingling; Tissue damage; Thirst; Tiredness; Weakness; Weak pulse; Bleeding; Breathing difficulty; Low blood pressure; Nausea and vomiting; Numbness and tingling; Pain at site of bite; Shock; Skin color changes; Swelling; Thirst; Tiredness; Tissue damage; Weakness; Weak pulse; Blurred vision; Breathing difficulty; Convulsions; Drowsiness; Eyelid drooping; Headache; Low blood pressure; Mouth watering (excessive salivation); Nausea and vomiting; Numbness; Pain and swelling at site of bite; Paralysis; Shock; Slurred speech; Swallowing difficulty; Swelling of tongue and throat; Weakness; Skin color changes; Skin tissue damage; Stomach or abdominal pain; Weak pulse"
Marine animal stings or bites,"There may be pain, burning, swelling, redness, or bleeding near the area of the bite or sting. Other symptoms can affect the entire body, and may include:; Cramps; Diarrhea; Difficulty breathing; Groin pain, armpit pain; Fever; Nausea or vomiting; Paralysis; Sweating; Unconsciousness or sudden death from heart rhythm irregularities; Weakness, faintness, dizziness"
Insect bites and stings,"Symptoms depend on the type of bite or sting. They may include:; Some people have severe, life-threatening allergic reactions to bee stings or insect bites. This is called anaphylactic shock. This condition can occur very quickly and lead to rapid death if not treated quickly.; Symptoms of anaphylaxis can occur quickly and affect the whole body. They include:; Pain; Redness; Swelling; Itching; Burning; Numbness; Tingling; Abdominal pain or vomiting; Chest pain; Difficulty swallowing; Difficulty breathing; Face or mouth swelling; Fainting or lightheadedness; Rash or skin flushing"
Foreign object - swallowed,"Symptoms include:; Sometimes, only minor symptoms are seen at first. The object may be forgotten until symptoms such as inflammation or infection develop.; Choking; Coughing; Wheezing; Noisy breathing; No breathing or breathing trouble (respiratory distress); Chest, throat, or neck pain; Turning blue, red, or white in the face; Difficulty swallowing saliva"
Foreign body in the nose,"Symptoms that your child may have a foreign body in his or her nose include:; Difficulty breathing through the affected nostril; Feeling of something in the nose; Foul-smelling or bloody nasal discharge; Irritability, particularly in infants; Irritation or pain in the nose"
Hypothermia,"As a person develops hypothermia, they slowly lose the ability to think and move. In fact, they may even be unaware that they need emergency treatment. Someone with hypothermia also is likely to have frostbite.; The symptoms include:; Lethargy (weakness and sleepiness), cardiac arrest, shock, and coma can set in without prompt treatment. Hypothermia can be fatal.; Confusion; Drowsiness; Pale and cold skin; Slowed breathing or heart rate; Shivering that cannot be controlled (although at extremely low body temperatures, shivering may stop); Weakness and loss of coordination"
Shock,"A person in shock has extremely low blood pressure. Depending on the specific cause and type of shock, symptoms will include one or more of the following:; Anxiety or agitation/restlessness; Bluish lips and fingernails; Chest pain; Confusion; Dizziness, lightheadedness, or faintness; Pale, cool, clammy skin; Low or no urine output; Profuse sweating, moist skin; Rapid but weak pulse; Shallow breathing; Being
   unconscious (unresponsive)"
How to make a splint,
Sprains,"Symptoms of a sprain include:; Joint pain or muscle pain; Swelling; Joint stiffness; Discoloration of the skin, especially bruising"
Strains,Symptoms of a strain can include:; Pain and difficulty moving the injured muscle; Discolored and bruised skin; Swelling
Cuts and puncture wounds,"Symptoms include:; Infection may occur with some cuts and puncture wounds. The following are more likely to become infected:; Bleeding; Problems with function (movement) or feeling (numbness, tingling) below the wound site; Pain; Bites; Punctures; Crush injuries; Dirty wounds; Wounds on the feet; Wounds that are not promptly treated"
Genital injury,Symptoms may include:; Abdominal pain; Bleeding; Bruising; Change in shape of the affected area; Faintness; Foul-smelling vaginal or urethral discharge; Object embedded in a body opening; Groin pain or genital pain (can be extreme); Swelling; Urine drainage; Vomiting; Urination that is painful or the inability to urinate; Open wound
Bleeding,"You may have symptoms such as:; Bleeding can also cause shock, which may include any of the following symptoms:; Symptoms of internal bleeding may include those listed above for shock as well as the following:; Blood coming from a natural opening in the body may also be a sign of internal bleeding. These symptoms include:; Blood coming from an open wound; Bruising; Confusion or decreasing alertness; Clammy skin; Dizziness or light headedness after an injury; Low blood pressure; Paleness (pallor); Rapid pulse (increased heart rate); Shortness of breath; Weakness; Abdominal pain and swelling; Chest pain; Skin color changes; Blood in the stool (appears black, maroon, or bright red); Blood in the urine (appears red, pink, or tea-colored); Blood in the vomit (looks bright red, or brown like coffee-grounds); Vaginal bleeding (heavier than usual or after menopause)"
Non-fatal drowning,"Symptoms can vary, but may include:; Swollen belly (abdominal distention); Bluish skin of the face, especially around the lips; Chest pain; Cold skin and pale appearance; Confusion; Cough with pink, frothy sputum; Irritability; Lethargy; No breathing; Restlessness; Shallow or gasping respirations; Unconsciousness (lack of responsiveness); Vomiting"
Abdominal thrusts,
Choking - infant under 1 year,"The danger signs of choking are:; Bluish skin color (cyanosis); Difficulty breathing -- ribs and chest pull inward; Loss of consciousness (unresponsiveness) if blockage is not cleared; Inability to cry or make much sound; Weak, ineffective coughing; Soft or high-pitched sounds while inhaling"
Choking - adult or child over 1 year,"When an older child or adult is choking, they will often grab their throat with the hand. If the person does not do this, look for these danger signs:; Inability to speak; Difficulty breathing; Noisy breathing or high-pitched sounds while inhaling; Weak, ineffective coughing; Bluish skin color (cyanosis); Loss of consciousness (unresponsiveness) if blockage is not cleared"
Choking - unconscious adult or child over 1 year,Symptoms of choking when a person is unconscious include:; Bluish color to the lips and nails (cyanosis); Inability to breathe
Ear emergencies,Symptoms include:; Bleeding from the ear; Bruising or redness; Clear liquid coming out of the ear (brain fluid also called cerebrospinal fluid); Dizziness; Earache; Loss of hearing; Nausea and vomiting; Noises in the ear; Sensations of an object in the ear; Swelling; Visible object in the ear; Fever; Hearing loss
Electrical injury,"Symptoms depend on many things, including:; Symptoms may include:; Type and strength of voltage; How long you were in contact with the electricity; How the electricity moved through your body; Your overall health; Changes in alertness (consciousness); Broken bones; Heart attack (chest, arm, neck, jaw, or back pain); Headache; Problems with swallowing, vision, or hearing; Irregular heartbeat; Muscle spasms and pain; Numbness or tingling; Breathing problems or lung failure; Seizures; Skin burns"
Eye emergencies,"Depending on the type of injury, any of the following symptoms may be present:; Bleeding or other discharge from or around the eye; Bruising; Decreased vision; Double vision; Eye pain; Headache; Itchy eyes; Loss of vision, total or partial, one eye or bothÂ; Pupils of unequal size; Redness -- bloodshot appearance; Sensation of something in the eye; Sensitivity to light; Stinging or burning in the eye"
Fishhook removal,A fishhook stuck in the skin can cause:; Pain; Localized swelling; Bleeding
Heat emergencies,"Muscle cramps are the first stage of heat illness. If heat exposure continues and these symptoms are not treated, they can lead to heat exhaustion and then heat stroke.; Heat stroke occurs when the body is no longer able to regulate its temperature, and it keeps rising. Heat stroke can cause shock, brain damage, organ failure, and even death.; The early symptoms of heat illness include:; Later symptoms of heat exhaustion include:; The symptoms of heatstroke include those of heat exhaustion in combination with very high body temperature and significant neurologic symptoms (call 911 or the local emergency number right away):; Muscle cramps and pains that most often occur in the legs or abdomen, and may be due to multiple factors including exercising in the heat.; Fatigue; Thirst; Very heavy
  sweating; Cool, moist skin; Dark urine; Dizziness, lightheadedness; Headache; Nausea and vomiting; Weakness; Rapid, shallow breathing; Rapid, weak pulse; Fever -- temperature above 104Â°F (40Â°C); Extreme confusion (altered level of consciousness); Irrational behavior; Seizures; Unconsciousness (loss of responsiveness)"
Frostbite,"Symptoms of frostbite may include:; Very severe frostbite may cause:; Frostbite may affect any part of the body. The hands, feet, nose, and ears are the places most prone to frostbite.; Pins and needles feeling, followed by numbness; Hard, pale, and cold skin that has been exposed to the cold for too long; Aching, throbbing or lack of feeling in the affected area; Red and extremely painful skin and muscle as the area thaws; Blisters; Gangrene (blackened, dead tissue); Damage to tendons, muscles, nerves, and bone; If the frostbite did not affect your blood vessels, a complete recovery is possible.; If the frostbite affected the blood vessels, the damage is permanent. Gangrene may occur. This may require removal of the affected body part (amputation)."
Broken or knocked out tooth,
Chemical burn or reaction,"Depending on the type of exposure, the symptoms may include:; Abdominal pain; Breathing difficulty; Bright red or bluish skin and lips; Convulsions (seizures); Dizziness; Eye pain, burning or watering; Headache; Hives, itching, swelling, or weakness resulting from an allergic reaction; Irritability; Nausea andÂ vomiting; Pain where the skin has come in contact with the toxic substance; Rash, blisters, burns on the skin; Unconsciousness or other states of altered level of consciousness"
Skull fracture,"Symptoms may include:; In some cases, the only symptom may be a bump on the head. A bump or bruise may take up to 24 hours to develop.; Bleeding from wound, ears, nose, or around eyes; Bruising behind the ears or under the eyes; Changes in pupils (sizes unequal, not reactive to light); Confusion; Convulsions (seizures); Difficulties with balance; Drainage of clear or bloody fluid from ears or nose; Drowsiness; Headache; Loss of consciousness (unresponsiveness); Nausea and vomiting; Restlessness, irritability; Slurred speech; Stiff neck; Swelling; Visual disturbances"
Nose fracture,Symptoms may include:; The bruised appearance most often disappears after 2 weeks.; Blood coming from the nose; Bruising around the eyes; Difficulty breathing through the nose; Misshapen appearance (may not be apparent until the swelling goes down); Pain; Swelling
Heart attack first aid,"Symptoms of a heart attack can vary from person to person. They may be mild or severe. Women, older adults, and people with diabetes are more likely to have subtle or unusual symptoms.; Symptoms in adults may include:; Changes in mental status, especially in older adults.; Chest pain that feels like pressure, squeezing, or fullness. The pain is most often in the center of the chest. It may also be felt in the jaw, shoulder, arms, back, and stomach. It can last for more than a few minutes, or come and go.; Cold sweat.; Lightheadedness.; Nausea (more common in women).; Indigestion.; Vomiting.; Numbness, aching, or tingling in the arm (usually the left arm, but the right arm may be affected alone, or along with the left).; Shortness of breath.; Weakness or fatigue, especially in older adults and in women."
Sleep disorders in older adults,"Symptoms that may occur include:; Difficulty falling asleep; Difficulty telling the difference between night and day; Early morning awakening; Waking up often during the night (for example, due to nocturia)"
Atelectasis,Symptoms may include any of the following:; There are no symptoms if atelectasis is mild.; Breathing difficulty; Chest pain; Cough
Lung disease,
Blockage of upper airway,"Symptoms vary, depending on the cause. But some symptoms are common to all types of airway blockage. These include:; Agitation or fidgeting; Bluish color of the skin (cyanosis); Changes in consciousness; Choking; Confusion; Difficulty breathing, gasping for air, leading to panic; Unconsciousness (lack of responsiveness); Wheezing, crowing, whistling, or other unusual breathing noises indicating breathing difficulty"
Histiocytosis,"Both Langerhans cell histiocytosis and Erdheim-Chester disease can affect the whole body (systemic disorder).; Symptoms can vary between children and adults, but they may have some of the same symptoms. Tumors in weight-bearing bones, such as the legs or spine, may cause the bones to fracture without an obvious reason.; Symptoms in children may include:; Note: Children over 5 years old often have only bone involvement.; Symptoms in adults may include:; Abdominal pain; Bone pain; Delayed puberty; Dizziness; Ear drainage that continues long-term; Eyes that appear to stick out more and more; Irritability; Failure to thrive; Fever; Frequent urination; Headache; Jaundice; Limping; Mental decline; Rash; Seborrheic dermatitis of the scalp; Seizures; Short stature; Swollen lymph glands; Thirst and increased drinking of fluids; Vomiting; Weight loss; Bone pain; Chest pain; Cough; Fever; General discomfort, uneasiness, or ill feeling; Increased amount of urine; Rash; Shortness of breath; Thirst and increased drinking of fluids; Weight loss"
Idiopathic pulmonary fibrosis,"When you have IPF, your lungs become scarred and stiffened. This makes it hard for you to breathe. In most people, IPF gets worse quickly over months or a few years. In others, IPF worsens over a much longer time.; Symptoms may include any of the following:; Chest pain (sometimes); Cough (usually dry); Not able to be as active as before; Shortness of breath during activity (this symptom lasts for months or years, and over time may also occur when at rest); Feeling faint; Gradual weight loss"
Solitary pulmonary nodule,A solitary pulmonary nodule itself rarely causes symptoms.
Industrial bronchitis,Symptoms may include any of the following:; Cough that brings up mucus (sputum); Shortness of breath; Wheezing
Viral pneumonia,"Symptoms of viral pneumonia often begin slowly and may not be severe at first.; The most common symptoms of pneumonia are:; Other symptoms include:; Cough (with some pneumonias you may cough up mucus, or even bloody mucus); Fever; Shaking chills; Shortness of breath (may only occur when you exert yourself); Confusion, often in older people; Excessive sweating and clammy skin; Headache; Loss of appetite, low energy, and fatigue; Sharp or stabbing chest pain that gets worse when you breathe deeply or cough; Fatigue"
Pulmonary actinomycosis,The infection often comes on slowly. It may be weeks or months before diagnosis is confirmed.; Symptoms may include any of the following:; Chest pain when taking a deep breath; Cough with phlegm (sputum); Fever; Shortness of breath; Unintentional weight loss; Lethargy; Night sweats (uncommon)
Pulmonary veno-occlusive disease,Symptoms may include any of the following:; Shortness of breath; Dry cough; Fatigue on exertion; Fainting; Coughing up blood; Difficulty breathing while lying flat
Sarcoidosis,"There may be no symptoms. When symptoms do occur, they can involve almost any body part or organ system.; Almost all people affected by sarcoidosis have lung or chest symptoms:; Symptoms of general discomfort may include:; Skin symptoms may include:; Nervous system symptoms may include:; Eye symptoms may include:; Other symptoms of this disease may include:; Chest pain (most often behind the breast bone); Dry cough; Shortness of breath; Coughing up blood (rare, but serious); Fatigue; Fever; Joint ache or pain (arthralgia); Weight loss; Hair loss; Raised, red, firm skin sores (erythema nodosum), almost always on the front part of the lower legs; Rash; Scars that become raised or inflamed; Headache; Seizures; Weakness on one side of the face; Burning, itching, discharge from the eye; Dry eyes; Pain; Vision loss; Dry mouth; Fainting spells, if the heart is involved; Nosebleed; Swelling in the upper part of the abdomen; Liver disease; Swelling of the legs if heart and lungs are involved; Abnormal heart rhythm if the heart is involved"
Pulmonary tuberculosis,"The primary stage of TB does not cause symptoms. When symptoms of pulmonary TB occur, they can include:; Breathing difficulty; Chest pain; Cough (usually with mucus); Coughing up blood; Excessive sweating, particularly at night; Fatigue; Fever; Weight loss; Wheezing"
Primary alveolar hypoventilation,Symptoms are usually worse during sleep. Episodes of stopped breathing (apnea) often occur while sleeping. Often there is no shortness of breath during the day.; Symptoms include:; People with this disease are very sensitive to even small doses of sedatives or narcotics. These drugs can make their breathing problem much worse.; Bluish coloration of the skin caused by lack of oxygen (cyanosis); Daytime drowsiness; Fatigue; Morning headaches; Swelling of the ankles; Waking up from sleep unrested; Waking up many times at night
Atypical pneumonia,"Pneumonia due to mycoplasma and chlamydophila bacteria is usually mild. Pneumonia due to legionella gets worse during the first 4 to 6 days, and then improves over 4 to 5 days.; The most common symptoms of pneumonia are:; Other symptoms include:; Less common symptoms include:; Chills; Cough (with legionella pneumonia, you may cough up bloody mucus); Fever, which may be mild or high; Shortness of breath (may only occur when you exert yourself); Chest pain that gets worse when you breathe deeply or cough; Confusion, most often in older people or those with legionella pneumonia; Headache; Loss of appetite, low energy, and fatigue; Muscle aches and joint stiffness; Sweating and clammy skin; Diarrhea (often with legionella pneumonia); Ear pain (with mycoplasma pneumonia); Eye pain or soreness (with mycoplasma pneumonia); Neck lump (with mycoplasma pneumonia); Rash (with mycoplasma pneumonia); Sore throat (with mycoplasma pneumonia)"
Flu,"Flu symptoms often start quickly. You can start to feel sick about 1 to 7 days after you come in contact with the virus. Most of the time, symptoms appear within 2 to 3 days.; The first symptom is often a fever between 100Â°F (37.8Â°C) and 104Â°F (40Â°C) that comes on suddenly. An adult often has a lower fever than a child. But not everyone with the flu has a fever.; Other common symptoms include:; Fever usually goes away in 3 to 4 days but may last up to 8 days. Other symptoms get better in 7 to 14 days. The cough and tired feeling may last for weeks. Sometimes, the fever comes back.; Some people may not feel like eating.; The flu can make asthma, breathing problems, and other long-term (chronic) illnesses and conditions worse.; Body aches; Chills; Headache; Lack of energy; Cough; Runny or stuffy nose; Sneezing; Sore throat; Nausea, vomiting and diarrhea (more common in children)"
Mediastinitis,Symptoms may include:; Signs of mediastinitis in people who have had recent surgery include:; Chest pain; Chills; Fever; General discomfort; Shortness of breath; Chest wall tenderness; Wound drainage; Unstable chest wall
Mycoplasma pneumonia,"Symptoms are often mild and appear over 1 to 3 weeks. They may become more severe in some people.; Common symptoms include any of the following:; Less common symptoms include:; Chest pain; Chills; Cough, usually dry and not bloody; Excessive sweating; Fever (may be high); Headache; Sore throat; Ear pain; Eye pain or soreness; Muscle aches and joint stiffness; Neck lump; Rapid breathing; Skin lesions or rash"
Pulmonary nocardiosis,"Pulmonary nocardiosis mainly affects the lungs. But, nocardiosis can also spread to other organs in the body. Common symptoms may include:; ENTIRE BODY; GASTROINTESTINAL SYSTEM; LUNGS AND AIRWAYS; MUSCLES AND JOINTS; NERVOUS SYSTEM; SKIN; Fever (comes and goes); General ill feeling (malaise); Night sweats; Nausea; Liver and spleen swelling (hepatosplenomegaly); Loss of appetite; Unintentional weight loss; Vomiting; Breathing difficulty; Chest pain not due to heart problems; Coughing up blood or mucus; Rapid breathing; Shortness of breath; Joint pain; Change in mental state; Confusion; Dizziness; Headache; Seizures; Changes in vision; Skin rashes or lumps; Skin sores (abscesses); Swollen lymph nodes"
Pneumomediastinum,"There may be no symptoms. The condition usually causes chest pain behind the breastbone, which may spread to the neck or arms. The pain may be worse when you take a breath or swallow."
Obesity hypoventilation syndrome (OHS),The main symptoms of OHS are due to lack of sleep and include:; Symptoms of low blood oxygen level (chronic hypoxia) and high carbon dioxide can occur. Symptoms include shortness of breath or feeling tired after little effort.; Poor sleep quality; Sleep apnea; Daytime sleepiness; Depression; Headaches; Tiredness
Pleural effusion,"Symptoms can include any of the following:; Sometimes there are no symptoms.; Chest pain, usually a sharp pain that is worse with cough or deep breaths; Cough; Fever and chills; Hiccups; Rapid breathing; Shortness of breath"
Collapsed lung (pneumothorax),"Common symptoms of a collapsed lung include:; A larger pneumothorax causes more severe symptoms, including:; Sharp chest or shoulder pain, made worse by a deep breath or a cough; Shortness of breath; Nasal flaring (from shortness of breath); Bluish color of the skin due to lack of oxygen; Chest tightness; Lightheadedness and near fainting; Easy fatigue; Abnormal breathing patterns or increased effort of breathing; Rapid heart rate; Shock and collapse"
Psittacosis,The incubation period of psittacosis is 5 to 15 days. The incubation period is the time it takes for symptoms to appear after being exposed to the bacteria.; Symptoms may include:; Blood-tinged sputum; Dry cough; Fatigue; Fever and chills; Headache; Joint aches; Muscle aches (most often in the head and neck); Shortness of breath; Diarrhea; Swelling in the back of the throat (pharyngitis); Swelling of the liver; Confusion
Chronic obstructive pulmonary disease (COPD),"Symptoms may include any of the following:; Because the symptoms develop slowly, many people may not know that they have COPD.; Cough, with or without mucus; Fatigue; Frequent respiratory infections; Shortness of breath (dyspnea) that gets worse with mild activity; Trouble catching one's breath; Wheezing"
Respiratory acidosis,Symptoms may include:; Confusion; Anxiety; Easy fatigue; Lethargy; Shortness of breath; Sleepiness; Tremors (shaking); Warm and flushed skin; Sweating
Pneumonia - weakened immune system,"Symptoms may include:; Other symptoms that may occur:; Cough (may be dry or produce mucus-like, greenish, or pus-like sputum); Chills with shaking; Fatigue; Fever; General discomfort, uneasiness, or ill feeling (malaise); Headache; Loss of appetite; Nausea and vomiting; Sharp or stabbing chest pain that gets worse with deep breathing or coughing; Shortness of breath; Heavy sweating or night sweats; Stiff joints (rare); Stiff muscles (rare)"
Lung metastases,Symptoms may include any of the following:; Bloody sputum; Chest pain; Cough; Shortness of breath; Weakness; Weight loss
Histoplasmosis - acute (primary) pulmonary,"Most people with acute pulmonary histoplasmosis have no symptoms or only mild symptoms. The most common symptoms are:; Acute pulmonary histoplasmosis can be a serious illness in the very young, older people, and people with a weakened immune system, including those who:; Symptoms in these people may include:; Chest pain; Chills; Cough; Fever; Joint pain and stiffness; Muscle aches and stiffness; Rash (usually small sores on the lower legs); Shortness of breath; Have HIV/AIDS; Have had bone marrow or solid organ transplants; Take medicines that suppress their immune system; Inflammation around the heart (called pericarditis); Serious lung infections; Severe joint pain"
Blastomycosis,"Lung infection may not cause any symptoms. Symptoms may be seen if the infection spreads. Symptoms may include:; Most people develop skin symptoms when the infection spreads. You may get papules, pustules, or nodules on exposed body areas.; The pustules:; Joint pain; Chest pain; Cough (may produce brown or bloody mucus); Fatigue; Fever; Night sweats; General discomfort, uneasiness, or ill feeling (malaise); Muscle pain; Unintentional weight loss; May look like warts or ulcers; Are usually painless; Vary in color from gray to violet; May appear in the nose and mouth; Bleed easily and form ulcers"
Acute respiratory distress syndrome,"Symptoms usually develop within 24 to 48 hours of the injury or illness. Often, people with ARDS are so sick they cannot report symptoms. Symptoms can include any of the following:; Shortness of breath; Fast heartbeat; Low blood pressure and organ failure; Rapid breathing"
Drug-induced pulmonary disease,Symptoms may include any of the following:; Bloody sputum; Chest pain; Cough; Fever; Shortness of breath; Wheezing
Simple pulmonary eosinophilia,Symptoms may include any of the following:; Symptoms can range from none at all to severe. They may go away without treatment.; Chest pain; Dry cough; Fever; General ill feeling; Rapid breathing; Rash; Shortness of breath; Wheezing
