Disease Name,Symptoms
Blisters (Overview),"In general, blisters are round or oval bubbles of fluid under the skin that may be painful or itchy, or they may not cause any symptoms. Symptoms vary depending on the cause.
Irritation, burns and allergies— Blisters caused by friction or burns are usually painful. Blisters resulting from eczema can be accompanied by redness, severe itching and small bumps on the affected skin.
"
Body Lice,
Boils and Carbuncles,
Borderline Personality Disorder,
Botulism,
Bowel Obstruction,
Bradycardia,
Brain Abscess,
Brain Tumor Overview,
Breast Cancer,
Broken Jaw,
Broken Nose (Nasal Fracture),
Bulimia,
Bunion,
Bursitis,
Campylobacteriosis,"Some people who have aCampylobacterinfection have mild symptoms, such as a few loose stools per day. These people probably would not seek medical attention, since the symptoms would resolve on their own.
When full-blown symptoms occur, they usually begin two to seven days after exposure toCampylobacter.At first, you may have a 12- to 48-hour period of fever, headache, muscle aches, and malaise (a general feeling of sickness). These early symptoms are followed by crampy abdominal pain and diarrhea, sometimes with nausea and vomiting. There may be up to 10 loose stools watery stools per day. You may notice some blood in the stool.

"
Cancer Overview,
Candidiasis,
Carbon Monoxide Poisoning,
Carcinoid Tumors of the Lung,
Cardiac Arrhythmias,
Cardiomyopathy,
Carpal Tunnel Syndrome,
Cataracts,
Celiac Disease (Non-Tropical Sprue),
Cellulitis,
Cerebral Palsy,
Cervical Cancer,
Cervical Polyps,
Cervicitis,"Cervicitis often causes no symptoms at all, but some women will experience pain during intercourse, vaginal itching, a bloody vaginal discharge, or vaginal spotting or bleeding between periods (usually after vaginal intercourse). If the urethra (urine tube) also becomes infected, you may feel burning when you urinate or you may urinate more often. Cervicitis can spread to your uterus, fallopian tubes or ovaries, which is a condition called pelvic inflammatory disease (PID). If you have PID, you may have abdominal pain or fever.

"
Chemical Injury to the Eye,
Chickenpox (Varicella),
Chlamydia,
Cholecystitis,
Chondromalacia,
Chondrosarcoma,
Chorionic Villus Sampling,
Choroidal Melanoma,
Chronic Fatigue Syndrome,
Chronic Hepatitis,
Chronic Laryngitis,
Chronic Lymphocytic Leukemia (CLL),
Chronic Obstructive Pulmonary Disease (COPD),
"Chronic Otitis Media, Cholesteatoma and Mastoiditis",
Chronic Pancreatitis,"The most common symptom is upper abdominal pain, which often radiates to the back and may be accompanied by nausea, vomiting, and loss of appetite. The pain can occur daily or off and on, and can be mild or intense. As the disease gets worse and more of the pancreas is destroyed, pain may actually become less severe. During an attack, the pain often is made worse by drinking alcohol or eating a large meal high in fats.
Because a damaged pancreas can't produce important digestive enzymes, people with chronic pancreatitis may develop problems with digesting and absorbing food and nutrients. This can lead to weight loss, vitamin deficiencies, diarrhea, and greasy, foul-smelling stools. Over time, a damaged pancreas also can fail to produce enough insulin, which results in diabetes.
"
Chronic Prostatitis,
Chronic Sinusitis (in Adults),
Cirrhosis,
Cluster Headache,
Cogan's Syndrome,
Collarbone (Clavicle) Fracture,
Colon Polyps,
Colorectal Cancer,
Coma and Persistent Vegetative State,
Common Cold (Viral Rhinitis),
Complex Regional Pain Syndrome (CRPS),
Concussion,"A concussion can cause any or all of the following symptoms:
Symptoms most often appear immediately after the injury. However, in some cases, a person will feel fine at first and have the symptoms minutes to hours later.
Symptoms such as coma (unresponsiveness), seizures, or paralysis or weakness of an arm or leg suggest a more serious form of head injury.
"
Constipation and Impaction,
Contact Dermatitis,
Conversion Disorder (Functional Neurological Symptom Disorder),
Corneal Abrasion,
Corns and Calluses,
Coronary Artery Disease,
Creutzfeldt-Jakob Disease (CJD),"CJD does not cause any symptoms at first. The first symptoms include slow thinking, difficulty concentrating, impaired judgment and memory loss.  These symptoms also occur with other diseases, such as Alzheimer's disease, so CJD can be hard to diagnose, at first.
Soon, however, begins a severe, progressive dementia. People neglect themselves, become apathetic or irritable, and start having strong muscle spasms. Then people become completely bedridden, and eventually lapse into coma. Comatose patients may die as a result of infection associated with being immobile, such as pneumonia.
"
Crohn's Disease,
Crossed Eyes (Strabismus),
Croup,
Curvature of the Penis (Peyronie's Disease),
Cystic Fibrosis,
Cysts (Overview),
Cytomegalovirus (CMV),
Dandruff,
Decompression Sickness,"Symptoms of decompression sickness include:
"
Delusional Disorder,"The main symptom is a persistent delusion or delusions (a fixed belief) — for example, about a situation, condition, or action – that is not happening but may be plausible in real life. Types include:
"
Dementia,
Depression Overview,"A depressed person may gain or lose weight, eat more or less than usual, have difficulty concentrating, and have trouble sleeping or sleep more than usual. He or she may feel tired and have no energy for work or play. Small burdens or obstacles may appear impossible to manage. The person can appear slowed down, or agitated and restless. The symptoms can be quite noticeable to others.
A particularly painful symptom of this illness is an unshakable feeling of worthlessness and guilt. The person may feel guilty about a specific life experience, or may feel general guilt not related to anything in particular.
If pain and self-criticism become great enough, they can lead to feelings of hopelessness, self-destructive behavior, or thoughts of death and suicide. The vast majority of people who suffer severe depression do not attempt or complete suicide, but they are more likely to do so than people who are not depressed.
Symptoms of major depression include:
People with persistent depressive disorder may have many of the same symptoms, although fewer symptoms are needed to make the diagnosis, and these symptoms are long-lasting.
"
Dermatofibroma,
Detached Retina,
Developmental Dysplasia of the Hip,
Deviated Septum,"Symptoms of a deviated septum can include:
In some cases, people with a mildly deviated septum have symptoms only when they also have a cold or other upper respiratory tract infection. In these people, the respiratory infection causes nose tissues to swell, which can make airflow problems worse. Once the cold goes away, the symptoms of a deviated septum often go away, too.
"
Diabetes Mellitus Overview,"Diabetes initially might not cause any symptoms. It can sometimes be caught early with a routine blood test before a person develops symptoms.
When diabetes does cause symptoms, they may include:
People with diabetes also have an increased susceptibility to infections, especially yeast (Candida) infections.
When the amount of insulin in the blood stream is too low, extremely high blood sugar levels can lead to dangerous complications. The body can become too acidic, a condition called diabetic ketoacidosis. Or the blood sugar level gets so high, the person becomes severely dehydrated. It's called hyperosmolar syndrome.
The symptoms of these complications include confused thinking, weakness, nausea, vomiting, and even seizures and coma. In some cases, diabetic ketoacidosis or hyperosmolar syndrome is the first sign that a person has diabetes.
The treatment of diabetes also can produce symptoms. Too much glucose-lowering medicine, relative to dietary intake, can lead to a blood sugar level that has dropped too low (called hypoglycemia). Symptoms of hypoglycemia include:
You can correct hypoglycemia by eating or drinking something that has carbohydrates. This raises your blood sugar level.
Long-term diabetes can have other complications, including:
"
Diabetic Ketoacidosis,"Symptoms of diabetic ketoacidosis include:
As blood ketone levels increase, the person's breathing pattern may become slow and deep, and his or her breath can have a fruity odor. A person with ketoacidosis may seem to be tired or confused or may have trouble paying attention. Without prompt treatment in the first day of symptoms, the illness may cause low blood pressure, a loss of consciousness, coma or death.
If you have type 1 diabetes, it is important to frequently measure your blood glucose levels. If your levels are running high or you are prone to ketoacidosis, you will want to test your urine for ketones. If the urine test strip reads ""moderate"" or ""large,"" it's possible you have ketoacidosis.
"
Diabetic Nephropathy,"There are usually no symptoms in the early stages of diabetic nephropathy. When symptoms do begin to appear, they may include ankle swelling and mild fatigue. Later symptoms include extreme fatigue, nausea, vomiting, and urinating less than usual.
"
Diabetic Neuropathies,"Most people who have had diabetes for 25 years have some form of neuropathy. Symptoms depend on the specific type of neuropathy.
If your feet are numb, you may not be aware when shoes don't fit properly. This can lead to the formation of a callus. These thickened skin areas can break down over time. They can change into an open sore (ulcer) that may become infected.
"
Diarrhea,
Diverticulosis and Diverticulitis,
Down Syndrome,"In addition to the characteristic physical features and decreased mental abilities, other health problems frequently are seen in people with Down syndrome. These include:
People with Down syndrome develop leukemia more often than those without the disorder, and they are more likely to develop infections, problems with the immune system, skin disorders and seizures.
Infants with Down syndrome usually develop more slowly than other children of the same age, although a wide variation is seen. Language development is typically much slower, as is motor development. Their body strength may seem a little weak. For example, most toddlers walk between 12 and 14 months of age, but toddlers with Down syndrome walk between 15 and 36 months.
"
Drooping Eyelid (Ptosis),
Dry Eye Syndrome,
Dry Skin,"Sometimes, the only symptom of dry skin is itching, although most people also will notice that their skin is flaky and slightly more wrinkled than normal. Symptoms of dry skin may worsen during the winter months, especially if you spend a lot of time indoors, where the heated air is dry.
"
Dysfunctional Uterine Bleeding,
Dyslexia,
Dysthymia,"The main symptom of persistent depressive disorder is a long-lasting low or sad mood. Children and adolescents with persistent depressive disorder may be irritable. Other symptoms include:
"
Dysuria,"Depending on the cause of dysuria, there may be other symptoms in addition to pain when urinating. Symptoms can include:
"
Earache,"Earache is most commonly described as a feeling of pressure in the ear. This feeling may begin gradually or suddenly, and it can be very severe. Other symptoms such as hearing loss, fever and feeling unwell usually indicate an ear infection.
When the ear canal is inflamed or if the eardrum ruptures, there may be drainage from the ear. If the eardrum ruptures because of a middle ear infection, the pain is often relieved because the pressure is reduced. In young children, the only signs of an ear infection may be fever, irritability and pulling at the ear.
"
Eczema,
Edema,"Symptoms vary according to the type of edema and its location. In general, the skin above the swollen area will be stretched and shiny.
"
Emphysema,"During the early stages of emphysema, most people will have few symptoms. The disease usually progresses slowly. Changes in breathing may be hardly noticed. A typical person will not experience symptoms until they have smoked a pack of cigarettes per day for more than 20 years.
However, over time, almost all people with emphysema will develop shortness of breath. At first, this may be noticed only during strenuous activities, such as climbing several flights of stairs or playing sports. As time goes on, the shortness of breath may occur with daily activities, such as housework or walking short distances. Eventually, the person may be short of breath for much of the day, even while at rest or sleeping. At its worst, emphysema can cause ""air hunger."" This is the constant feeling of being unable to catch one's breath.
These respiratory symptoms are the same regardless of the cause of the emphysema. However, two people with the same degree of lung damage may have different symptoms. One person with mild emphysema may feel very short of breath. Another person with more advanced stages of the disease may be hardly bothered by symptoms.
Other symptoms caused by emphysema include:
"
Encephalitis,"The symptoms of encephalitis range from mild to severe and can be life-threatening. Fortunately, most cases are not severe. Possible symptoms, beginning with the two most common, include the following:
Many of these symptoms also occur in other conditions that affect the brain, including migraine headaches and life-threatening conditions such as bleeding in the brain. When a person has a fever along with the other symptoms, some kind of infection is most likely.
"
Encopresis (Fecal Soiling),"In most children with encopresis, the most obvious signs are:
Other signs and symptoms may include:
Periods of constipation (no bowel movements) alternating with very large bowel movements
Streaks of blood on the outside of stool, or on toilet tissue used to wipe after a bowel movement
Pain in the lower abdomen or rectum
Stool-stained clothes hidden in closets, under the bed or elsewhere
Bedwetting, probably related to pressure from the large chunk of stool in the rectum
In rarer cases, when encopresis is caused by serious psychological problems, a child may drop or smear stool on floors, walls or furniture.
"
End-Stage Renal Disease,
Endocarditis,"Symptoms of acute endocarditis include:
Symptoms of subacute endocarditis include:
"
Endometriosis,
Endophthalmitis,"The most common symptoms are loss of vision and pain. Additional symptoms vary. They depend on what caused the eye infection:
"
Enlarged Prostate (Benign Prostatic Hyperplasia),"An enlarged prostate can make it more difficult to urinate. Not all men who have an enlarged prostate experience symptoms. However, about one-fourth of all men in the United States report some trouble urinating.
At first, symptoms may be mild because the bladder muscle is able to compensate for the pressure from the enlarged prostate on the urethra.
The pressure of the prostate on the urethra causes an interrupted or weak stream of urine. Other symptoms include:
The severity of these problems depends on how much pressure the prostate is putting on the urethra.
Another set of symptoms happens when the urine that collects in the bladder causes irritation. These symptoms include:
Potentially serious complications can occur if the bladder does not empty completely. Urine that does not exit the bladder can lead to the growth of bacteria, which can cause frequent urinary tract infections. Also, urinary stones can form in the bladder lining due to an accumulation of debris and chemicals. Broken blood vessels can cause blood in the urine, often because of torn or enlarged veins on the inner surface of the prostate. Blood in the urine also can be caused by the sudden stretching of the bladder wall. If left untreated, urine retained in the bladder can back up into the kidneys, which can cause kidney failure over time.
"
Epidemic Pleurodynia,"Once inside the body, the coxsackieviruses multiply in the throat and intestines then spread into the bloodstream. At this point, the body's immune defenses often can limit the infection and prevent the person from developing symptoms. If the immune defenses are less successful, the person develops a fever or other symptoms, such as headache, nausea and vomiting, and sore throat. Only a few infected people develop the classic muscle pain in the chest and upper abdomen that gives the disease its name. In these people, the coxsackievirus infection has settled in the muscles of the chest and upper abdomen, causing inflammation there.
The chest pain usually feels worse with deep breathing, called pleuritic pain. It can be a severe, stabbing pain or it can be a milder cramping in the side. Usually, only one side of the chest or abdomen is affected, although occasionally the pain can include muscles of the neck or arms.
The pain usually comes in waves that last 15 to 30 minutes, although some people report having pain episodes that last for several hours. The pain can be so severe that you have trouble breathing, sweat a lot and become anxious.
"
Epidermoid Cyst,"A cyst is a movable, dome-shaped, smooth-surfaced mass that varies in size from a few millimeters to several centimeters (from less than a quarter of an inch to more than 2 inches). Epidermoid cysts can occur on almost any skin surface.
"
Epididymitis And Orchitis,"Symptoms of epididymitis and orchitis can include:
"
Epiglottitis,"The most common signs and symptoms of epiglottitis include:
"
Epilepsy,
Esophageal Cancer,
Esophageal Rings And Webs,"Most esophageal rings and webs do not cause any symptoms, and are discovered when people have barium x-rays or endoscopy for unrelated reasons. When rings or webs do cause symptoms, the most common complaint is difficulty swallowing solids. Foods, especially meats and breads, may feel like they get stuck in the same place.
Food occasionally can become lodged in the esophagus and require an endoscopic procedure to unblock the esophagus.
"
Esophageal Varices,"Portal hypertension often does not cause any symptoms. Sometimes it is first discovered when the varices bleed. When significant bleeding occurs, a person will vomit blood, often in large amounts. People with massive bleeding feel dizzy and may lose consciousness.
Some people bleed in smaller amounts over a longer period, and they swallow the blood rather than vomit. Their stools may contain red or tarry-black blood.
People with esophageal varices caused by cirrhosis will usually have other symptoms related to their liver disease.
"
Esophagitis,"The main symptoms of esophagitis are:
"
Essential Tremor,
Ewing's Sarcoma,
Extragonadal Germ Cell Tumors,
Eye Socket Fracture (Fracture Of The Orbit),"Symptoms vary, depending on the location and severity of the fracture, but can include:
"
Fallen Arch,"The majority of children and adults with flexible flatfeet never have symptoms. However, their toes may tend to point outward as they walk, a condition called out-toeing. A person who develops symptoms usually complains of tired, aching feet, especially after prolonged standing or walking.
Symptoms of rigid flatfoot vary depending on the cause of the foot problem:
"
Fallopian Tube Cancer,
Familial Dysautonomia,
Farsightedness (Hyperopia),"Symptoms of farsightedness can include:
During childhood and adolescence, many people who have inherited short eyes do not show symptoms of farsightedness because their youthful eyes are so good at accommodating. With time, however, age-related changes in the lens can make the process of accommodation less effective, and symptoms of farsightedness eventually appear.
"
Febrile Seizures,"Signs of a febrile seizure may include
"
Fecal Incontinence,
Felon,"A felon causes extreme pain at the fingertip, especially when pressure is applied to the ""fingerprint"" surface. The end of the finger swells, is warm and turns red. There may be an accumulation of a white, thick discharge (pus). As the felon increases, the fingertip may feel numb, and bending the finger may be painful.
"
Female Infertility,
Fever,"Common symptoms associated with fever include sweating, shivering, headaches, muscle aches, poor appetite, rash, restlessness and general body weakness. High fever can lead to symptoms of mental dysfunction, such as confusion, excessive sleepiness, irritability and convulsions (seizures).
Convulsions triggered by fever (febrile seizures) are common among children younger than 5 years. These seizures usually occur at the beginning of an illness when temperature rises rapidly. In infants and toddlers, febrile seizures typically cause generalized shaking and muscle rigidity. They usually last one to three minutes and are often followed by a long period of sleep.
Specific symptoms associated with a fever often can provide clues to help identify the fever's cause. For example, a fever accompanied by vomiting and diarrhea may signal gastroenteritis, and a fever associated with coughing, shortness of breath and grayish-yellow phlegm may indicate pneumonia.
"
Fibroids,
Fibromyalgia,"Fibromyalgia can cause pain and stiffness in the muscles and joints almost anywhere in the body, including the trunk, neck, shoulders, back, and hips. People often have pain between the shoulder blades and at the bottom of the neck. Pain may be either a general soreness or a gnawing ache, and stiffness is often worst in the morning.
Typically, people also complain of feeling abnormally tired, especially of waking up tired, although they have slept well. Many people with fibromyalgia also have tender points, which are specific spots on the body that are painful to touch. Some people report symptoms of irritable bowel syndrome, depression, anxiety, and headache.
For research studies, the American College of Rheumatology (ACR) has established criteria for fibromyalgia that include a combination of unexplained symptoms such as pain, fatigue, waking without feeling rested, and/or problems with thinking or memory. But doctors often make the diagnosis in people with widespread pain and no other identifiable cause, even if criteria are not met.
"
Fifth Disease (Erythema Infectiosum),"Sometimes, fifth disease does not cause any symptoms. When symptoms occur, they may include mild cold symptoms (stuffy nose, runny nose, slight fever), body aches, headache and fatigue. These symptoms pass after three or four days and are followed primarily in children by a rash that is bright red and usually begins on the cheeks (the ""slapped cheek"" rash). This facial rash is followed by a lacy, flat rash that appears on the arms, legs, trunk and buttocks. The blotchy rash may itch, and it may last from several days to several weeks before it fades. Even after the rash clears, it sometimes may reappear if the skin is irritated by rubbing, heat, cold, exercise or exposure to sunlight.
Adolescents and adults with fifth disease may not have any symptoms or they may develop the typical rash, joint pain and swelling (most often at the knuckles, wrists and knees) or both.
Children who have blood disorders, such as sickle cell anemia and hemolytic anemia, and those with immune deficiency or cancer rarely get the rash of fifth disease. Instead, they may develop severe anemia (not enough red blood cells) as a result of being infected with parvovirus B19. The symptoms can include paleness, rapid breathing, rapid pulse, fever and malaise (a general sick feeling).
"
Finger Dislocation,"A dislocated finger is crooked, painful and swollen, and its surface skin may be cut, scraped or bruised. If a dislocated finger has been straightened on the playing field, it may feel abnormally loose, weak or unstable afterward.
"
Flu (Influenza),"Flu can cause a variety of symptoms. They can be mild or severe. Symptoms and illness severity depend on the type of virus, your age and overall health.
Although it is a respiratory virus, flu can affect other body systems. This makes you feel sick all over. Symptoms can include any or all of the following:
Dangerous complications, such as pneumonia, can develop from flu. The influenza virus can be the direct cause of pneumonia. But also infection with influenza makes a person more susceptible to bacterial pneumonia.
Certain people are especially vulnerable to complications. These include:
"
Food Allergy,
Food Poisoning,"Symptoms of food poisoning include:
"
Foot Sprain,"In a mild or moderate midfoot sprain, your midfoot area will be swollen and tender, and there may be some local bruising (black and blue discoloration). In more severe sprains, you may not be able to bear weight on your injured foot.
If you have turf toe, the base of your big toe will be painful and swollen.
"
Foot Ulcers,"A foot ulcer looks like a red crater in the skin. Most foot ulcers are located on the side or bottom of the foot or on the top or tip of a toe. This round crater can be surrounded by a border of thickened, callused skin. This border may develop over time. In very severe ulcers, the red crater may be deep enough to expose tendons or bones.
If the nerves in the foot are functioning normally, then the ulcer will be painful. If not, then a person with a foot ulcer may not know it is there, particularly if the ulcer is located on a less obvious portion of the foot.
In disabled or elderly patients, a relative or caregiver may be the one who becomes aware of the problem. The caregiver may notice that foot looks red and swollen. There may be drainage on the sock and a foul odor.
"
Foreign Body In Eye,"Symptoms can include itching, irritation or redness of the eye. If you have a corneal abrasion, you may have eye pain, light sensitivity and blurry vision.
"
Foreign Objects In The Ear,
Fragile X Syndrome,
Friction Blisters,"A friction blister is a small pocket of puffy, raised skin containing clear fluid. It is usually painful when touched. A blister can appear anywhere.
"
Friedreich's Ataxia,
Gallbladder and bile duct cancer,
Gallstones,"Eighty percent of people with gallstones do not have any symptoms and do not need treatment. When gallstones do cause symptoms, you might experience:
Occasionally, gallstones cause more serious complications, including pancreatitis or infections in the gallbladder or bile ducts. If one of these problems occurs, you may experience fever, more severe abdominal pain, or jaundice (a yellow color of the skin or whites of the eyes).
"
Gas (Flatulence),"Flatulence is the passing of intestinal gas, either voluntarily or involuntarily. Some people who have flatulence also complain of abdominal bloating, but others do not.
"
Gastritis,"Symptoms of gastritis can include:
Although gastritis can occur in people of all ages and backgrounds, it is more common in:
"
Gastroenteritis In Adults,"In adults, symptoms of gastroenteritis typically include mild diarrhea (fewer than 10 watery stools daily), abdominal pain and cramps, low-grade fever (below 101° Fahrenheit), headache, nausea and sometimes vomiting. In some cases, there can be bloody diarrhea.
"
Gastroenteritis In Children,
Gastroesophageal Reflux Disease (GERD),"Symptoms of GERD may include
"
Gastrointestinal Amebiasis,"In more than 90% of cases, the infecting strain of amoeba does not cause any symptoms. When symptoms do occur, they usually begin within months after amoebas first enter the body. In some people, the symptoms are mild, consisting of mild pain and gurgling sounds in the lower abdomen, along with two or three loose stools daily. In other people, however, there can be full-blown symptoms of amoebic dysentery, including high fever, severe abdominal pain, and 10 or more episodes of diarrhea daily. Typically, this diarrhea is watery or contains blood and mucus.
When amoebas spread to the liver and cause liver abscess, symptoms can include fever, nausea, vomiting, pain in the upper right portion of the abdomen, weight loss, and an enlarged liver. It is possible for a person to develop symptoms of an amoebic liver abscess without ever having had the diarrhea typical of infection.
"
Gaucher Disease,
Generalized Anxiety Disorder,"In generalized anxiety disorder, the person has persistent worry or anxiety that lasts for at least several months. (The diagnostic manual in psychiatry sets the minimum to 6 months, but you don't need to use a precise timer to seek help.)
Worry or anxiety is excessive, troubling and hard to control. It often interferes with the ability to function at home, at work or in social situations.
Feeling restless or keyed up Here are some of the other defining symptoms or behaviors common in the disorder:
People with generalized anxiety disorder also may have physical symptoms that feel like symptoms of heart disease, respiratory illness, digestive diseases and other medical illnesses.
"
Generalized Seizures (Grand Mal Seizures),
Genital Herpes,"Many people with genital herpes infection have no symptoms. When symptoms appear, they can include
Less common problems related to genital herpes include
The first episode of herpes symptoms usually has the worst symptoms. When symptoms develop, they can occur from a few days to a few weeks after contact with an infected person, but sometimes an infected person might not have any symptoms for years. Almost everyone with symptomatic genital herpes will have at least one recurrence. In people who have repeated herpes episodes, symptoms can be triggered by physical or emotional stress.
Newborns infected with herpes around the time of delivery usually develop symptoms five to nine days after birth. Symptoms can include blisters on the skin, eyes, and mouth. If the virus spreads through the baby's bloodstream to the brain, there can be sleepiness or irritability, and seizures. The virus can also spread to the baby's liver, lungs, and other organs, causing disseminated (widespread) disease. Herpes in a newborn can be from either HSV-1 or HSV-2, but HSV-2 tends to cause more severe disease.
"
Genital Warts,
Gestational Diabetes,"Some pregnant women with gestational diabetes have the symptoms of diabetes that are associated with high blood glucose (hyperglycemia). These include:
However, some women have no recognizable symptoms. This is why screening tests for this disease are recommended for all pregnant women.
"
Giant Cell Arteritis (Temporal Arteritis),"The most common symptom is a dull, throbbing headache, often at one or both sides of the forehead, although it can be anywhere over the head or into the neck. Other common symptoms include one or more of the following:
"
Giardiasis,
Glaucoma,
Glioblastoma Multiforme,"As brain tumors grow, they press against or damage nerves or other parts of the brain and interfere with thought, memory, emotion, movement, vision, hearing, touch, and other brain functions. Swelling and fluid buildup can also affect brain function.
The most common symptoms of glioblastoma are
Many other conditions can cause these symptoms, but call your doctor promptly if you experience any of these problems.
"
Gonorrhea,
Gout,"The first attack of gouty arthritis usually involves only one joint, most commonly the big toe. However, it can affect other joints, such as a knee, ankle, wrist, foot or finger. In gouty arthritis, the joint can become red, swollen and extremely tender to the touch. Typically, even a bed sheet brushing against the joint will trigger intense pain.
After the first attack of gout, later episodes are more likely to involve more than one joint at the same time. Sometimes, if gout lasts for many years, uric acid crystals can collect in the joints or tendons, under the skin, or on the outside the ears, forming a whitish deposit called a tophus.

Illustration: Scott Leighton
"
Granulomatosis with polyangiitis,"When GPA first develops, most people have upper respiratory complaints. Common symptoms of GPA include:
As the disease gets worse, upper respiratory symptoms usually worsen. Other parts of the body can be affected, too.
The following symptoms may occur, depending on the location and severity of the inflammation:
"
Graves' Disease,
Graves' Eye Disease (Graves' Ophthalmopathy),
Guillain-Barre Syndrome,"Symptoms of Guillain-Barr' syndrome vary from person to person and may be mild or severe. Most often, the first obvious symptom is weakness, and most often the weakness is felt in both legs. Over time, the weakness often involves the arms or head, affecting eye and head movement and speech. Occasionally, the weakness will affect the arms or muscles of the head before affecting the legs.
Sometimes the weakness is preceded or accompanied by a sensation of tingling, most often in the lower legs and feet. Guillain-Barr' syndrome can affect the body's autonomic nervous system and impair control of blood pressure, leading to dangerously low blood pressure when the person rises to stand after lying down or sitting.
The disorder may progress quickly, with most patients experiencing the worst weakness of legs, arms, chest and other muscle groups within three weeks of the start of the disease. In some cases, the weakness may worsen very rapidly. When this happens, weakness in the legs can become complete paralysis of the legs, arms and muscles of breathing within a day or two. For that reason, a person who develops sudden weakness in the legs or arms should contact a doctor immediately.
The weakness may last days, weeks or months before sensation begins to return. Returning to pre-illness strength and functioning can take months or years. Most patients return to normal within months.
"
Hair Loss,
Hammertoe,
Hay Fever (Allergic Rhinitis),"Symptoms of hay fever usually begin before age 30. They typically include:
The congested nose can lead to mouth breathing, and the dripping mucus can cause persistent cough and sore throat. Because hay fever also causes swelling in the sinuses and near the opening of the Eustachian tube (passage that connects the throat to the middle ear), sufferers can develop additional symptoms of secondary sinus infections or ear infections.
Your doctor will ask you about your symptoms, especially about when you have them and whether they occur outdoors or indoors. Your doctor also will ask about your family history of allergies and your personal history of allergy-related conditions, including eczema, hives and asthma.
"
Head and Neck Cancer,
Head Injury In Adults,"Head injuries can cause a wide variety of symptoms, depending on the type of injury, its severity, and its location. Some doctors classify head injuries into three categories, based on symptoms:
"
Head Injury In Children,
Head Lice,"The most common symptom of a head lice infestation is itching. This is caused mainly by the louse's saliva, which irritates the skin on the scalp. The itching can occasionally be severe enough to prevent sleep, and some people scratch so much that they cause additional skin infections. Head lice are not known to transmit any infections.
"
Headache Overview,"By definition, a headache is a pain in the head. But the type, location, and severity of pain are highly variable. And for migraine, there can be profound symptoms without a headache.
A person can simultaneously have multiple reasons for headaches. It's common for a person to have both migraine and tension-type headaches. And the symptoms of tension-type headaches and migraine headaches can overlap. For example, both types of headaches may be made worse by bright lights or loud noises.
In general, migraine headaches tend to throb. Tension-type headaches tend to cause a more constant pain. But the pain of either a migraine or a tension-type headache can be steady or throbbing, or can alternate between the two.
"
Hearing Loss in Adults,
Hearing Loss in Children,
