Disease,Symptoms
Child Mortality Under 5 Years,preterm birth complications; birth asphyxia/trauma; pneumonia; diarrhoea; malaria
Chlamydia,unusual urethral discharge; vaginal discharge; burning when urinating; pain in testicles (men); bleeding between periods (women); abdominal pain (women)
Cholera,severe acute watery diarrhoea; dehydration; vomiting; rapid heart rate
Chronic Obstructive Pulmonary Disease (Copd),chronic cough; shortness of breath; wheezing; chest tightness; fatigue
Colorectal Cancer,changes in bowel habits; blood in stool; abdominal pain; unexplained weight loss; fatigue
Coronavirus Disease (Covid 19),fever; chills; sore throat; cough; shortness of breath; fatigue; loss of taste or smell
Crimean Congo Haemorrhagic Fever,fever; muscle aches; dizziness; neck pain; headache; sore eyes; nausea; vomiting; diarrhoea
Deafness And Hearing Loss,difficulty hearing conversational speech; difficulty hearing loud sounds; tinnitus (ringing in the ears)
Dementia,"forgetting things or recent events; losing or misplacing things; getting lost when walking or driving; being confused, even in familiar places; losing track of time; difficulties solving problems or making decisions; problems following conversations or trouble finding words; difficulties performing familiar tasks; misjudging distances to objects visually; feeling anxious, sad, or angry about memory loss; personality changes; inappropriate behaviour; withdrawal from work or social activities; being less interested in other people’s emotions"
Dengue And Severe Dengue,high fever (40°C/104°F); severe headache; pain behind the eyes; muscle and joint pains; nausea; vomiting; swollen glands; rash; severe abdominal pain; persistent vomiting; rapid breathing; bleeding gums or nose; fatigue; restlessness; blood in vomit or stool; being very thirsty; pale and cold skin; feeling weak
Depression,"depressed mood (feeling sad, irritable, empty); loss of pleasure or interest in activities; poor concentration; feelings of excessive guilt or low self-worth; hopelessness about the future; thoughts about dying or suicide; disrupted sleep; changes in appetite or weight; feeling very tired or low in energy"
Diabetes,feeling very thirsty; needing to urinate more often than usual; blurred vision; feeling tired; losing weight unintentionally
Diarrhoeal Disease,"passage of 3 or more loose or liquid stools per day; severe dehydration (lethargy/unconsciousness, sunken eyes, unable to drink or drink poorly, skin pinch goes back very slowly); some dehydration (restlessness, irritability, sunken eyes, drinks eagerly, thirsty)"
Diphtheria,"sore throat; fever; swollen neck glands; weakness; thick, grey coating in nose, tonsils, and throat"
Ebola Disease,fever; fatigue; malaise; muscle pain; headache; sore throat; vomiting; diarrhoea; abdominal pain; rash; impaired kidney and liver functions; internal and external bleeding
E Coli,abdominal cramps; diarrhoea; bloody diarrhoea (haemorrhagic colitis); fever; vomiting
Endometriosis,"severe pain in the pelvis, especially during menstrual periods; pain during sex or when using the bathroom; trouble getting pregnant; chronic pelvic pain; heavy bleeding during periods or between periods; bloating or nausea; fatigue; depression or anxiety"
Epilepsy,"recurrent seizures; loss of awareness or consciousness; disturbances of movement, sensation, mood, or cognitive functions; higher rates of psychological conditions like anxiety and depression; physical problems such as fractures and bruising"
Hepatitis_A,fever; malaise; loss of appetite; diarrhoea; nausea; abdominal discomfort; dark-coloured urine; jaundice
Hepatitis_B,yellowing of the skin and eyes (jaundice); dark urine; feeling very tired; nausea; vomiting; pain in the abdomen
Hepatitis C,fever; feeling very tired; loss of appetite; nausea and vomiting; abdominal pain; dark urine; yellowing of the skin or eyes (jaundice)
Hepatitis D,fever; fatigue; loss of appetite; nausea; vomiting; dark urine; yellow eyes (jaundice); fulminant hepatitis (in severe cases)
Hepatitis E,"fever; reduced appetite (anorexia); nausea and vomiting; abdominal pain; itching; skin rash; joint pain; jaundice; dark urine; pale stools; slightly enlarged, tender liver (hepatomegaly)"
Herpes Simplex Virus,"painful blisters or ulcers; fever; body aches; swollen lymph nodes; tingling, itching or burning before sores appear; cold sores (oral herpes); genital sores (genital herpes)"
Hiv Aids,"fever; headache; rash; sore throat; swollen lymph nodes; weight loss; diarrhoea; cough; tuberculosis (TB); cryptococcal meningitis; severe bacterial infections; cancers (lymphomas, Kaposi's sarcoma)"
Hypertension,Often no symptoms; Severe headaches; Chest pain; Dizziness; Difficulty breathing; Nausea; Vomiting; Blurred vision; Anxiety; Confusion; Buzzing in the ears; Nosebleeds; Abnormal heart rhythm
Influenza (Seasonal),Sudden onset of fever; Cough (usually dry); Headache; Muscle and joint pain; Severe malaise; Sore throat; Runny nose
Lassa Fever,"Fever; General weakness; Headache; Malaise; Sore throat; Muscle pain; Chest pain; Nausea; Vomiting; Diarrhoea; Cough; Abdominal pain; Facial swelling (in severe cases); Fluid in lung cavity (in severe cases); Bleeding from mouth, nose, vagina or GI tract (in severe cases)"
Leishmaniasis,"Visceral leishmaniasis: irregular bouts of fever, weight loss, enlargement of the spleen and liver, and anaemia; Cutaneous leishmaniasis: skin lesions, mainly ulcers, on exposed parts of the body, life-long scars, serious disability or stigma; Mucocutaneous leishmaniasis: partial or total destruction of mucous membranes of the nose, mouth and throat"
Leprosy,Affects skin and peripheral nerves; Progressive and permanent disabilities if left untreated
Listeriosis,"Noninvasive listeriosis: diarrhoea, fever, headache, muscle pain; Invasive listeriosis: fever, muscle pain, septicemia, meningitis"
Low Back Pain,"Dull ache or sharp pain between lower edge of ribs and buttock; Pain can radiate into legs, restrict movement, affect sleep, mood, and quality of life"
Lung Cancer,Cough that does not go away; Chest pain; Shortness of breath; Coughing up blood; Fatigue; Weight loss with no known cause; Lung infections that keep coming back
Lymphatic Filariasis,"Asymptomatic infections cause hidden damage to lymphatic system; Chronic conditions: lymphoedema, elephantiasis, hydrocele; Acute episodes of local inflammation involving skin, lymph nodes, and lymphatic vessels"
Malaria,"Fever, headache, chills; Extreme tiredness and fatigue; Impaired consciousness; Multiple convulsions; Difficulty breathing; Dark or bloody urine; Jaundice; Abnormal bleeding"
Malnutrition,"Undernutrition: wasting (low weight-for-height), stunting (low height-for-age), underweight (low weight-for-age); Micronutrient deficiencies: lack of important vitamins and minerals; Overweight, obesity: abnormal or excessive fat accumulation"
Marburg Virus Disease,"High fever, severe headache, severe malaise; Muscle aches and pains; Severe watery diarrhoea, abdominal pain, cramping, nausea, vomiting; Non-itchy rash; Haemorrhagic manifestations: fresh blood in vomitus and faeces, bleeding from nose, gums, vagina"
Measles,"High fever; Cough; Runny nose; Red and watery eyes; Small white spots inside cheeks; Rash starting on face and upper neck, spreading to hands and feet"
Meningitis,"Fever; Neck stiffness; Confusion or altered mental status; Headache; Sensitivity to light; Nausea and vomiting; Seizures, coma in severe cases"
Mpox,Rash; Fever; Sore throat; Headache; Muscle aches; Back pain; Low energy; Swollen lymph nodes
Palliative Care,Pain; Difficulty in breathing
Parkinson Disease,Slow movement; Tremor; Involuntary movement; Rigidity; Trouble walking; Imbalance; Cognitive impairment; Mental health disorders; Dementia; Sleep disorders; Pain; Sensory disturbances
Patient Safety,Medication errors; Surgical errors; Health care-associated infections; Sepsis; Diagnostic errors; Patient falls; Venous thromboembolism; Pressure ulcers; Unsafe transfusion practices; Patient misidentification; Unsafe injection practices
Pesticide Residues In Food,"Acute poisoning; Chronic health effects (e.g., cancer, adverse reproductive effects)"
Physical Activity,"Increased risk of noncommunicable diseases (e.g., cardiovascular diseases, cancer, diabetes); Symptoms of depression and anxiety"
Plague,Sudden onset of fever; Chills; Head and body aches; Weakness; Vomiting and nausea; Painful swollen lymph nodes (buboes); Open sores filled with pus (in advanced stages)
Pneumonia,Fever; Cough; Difficulty breathing; Fast breathing; Lower chest wall indrawing; Wheezing (more common in viral infections)
Podoconiosis (Non Filarial Lymphoedema),Burning sensation and itching on the back of the feet; Skin thickening; Papillomatous growths around the feet and heel; Foot and lower leg swelling (oedema); Nodules and maceration between toes
Poliomyelitis,Fever; Fatigue; Headache; Vomiting; Stiffness of the neck; Pain in the limbs; Irreversible paralysis (usually in the legs)
Polycystic Ovary Syndrome,"Irregular periods; Infertility; Acne or oily skin; Excessive hair on the face or body; Male-pattern baldness or hair thinning; Weight gain, especially around the belly"
Post Covid 19 Condition (Long Covid),Fatigue; Aches and pains in muscles or joints; Breathlessness; Headaches; Difficulty in thinking or concentrating; Alterations in taste; Impaired sleep; Depression and anxiety
Post Traumatic Stress Disorder,"Re-experiencing the traumatic event (e.g., intrusive memories, nightmares, flashbacks); Avoidance of reminders of the event; Heightened sense of danger; Hypervigilance; Easily startled; Depression; Anxiety; Substance use disorders"
Pre Eclampsia,"Persistent high blood pressure; Proteinuria; Severe headaches; Visual disturbances (e.g., blurred vision, seeing spots); Upper abdominal pain; Nausea and vomiting (after the first trimester); Swelling in the hands and face"
Preterm Birth,"Premature birth (before 37 weeks of gestation); Complications in newborns (e.g., respiratory distress, infections)"
Rabies,Fever; Pain; Tingling or burning at the wound site; Hyperactivity; Excitable behaviour; Hallucinations; Lack of coordination; Hydrophobia (fear of water); Aerophobia (fear of drafts); Muscle paralysis (in paralytic rabies)
Refugee And Migrant Health,"Worse health outcomes due to barriers (e.g., language, discrimination); Higher risk for noncommunicable diseases; Poor mental health (e.g., anxiety, depression, PTSD)"
Refugee And Migrant Mental Health,depression; anxiety; post-traumatic stress disorder (PTSD); suicide; psychoses
Rehabilitation,"difficulty with thinking, seeing, hearing, communicating, eating, or moving around"
Respiratory Syncytial Virus (Rsv),runny nose; sore throat; headache; fatigue; fever; cough; shortness of breath; fast breathing; bronchospasm; wheezing
Rheumatic Heart Disease,"fever; painful joints; fatigue; jerky uncontrollable body movements (chorea); painless nodules under the skin; rash; heart murmur; chest pain or discomfort; shortness of breath; swelling of stomach, hands or feet; rapid or irregular heartbeat"
Rheumatoid Arthritis,chronic pain; stiffness; tenderness; heat; swelling in joints; fatigue; fever; poor sleep quality; loss of appetite; depressive symptoms
Rift Valley Fever,flu-like fever; muscle and joint pain; headache; neck stiffness; sensitivity to light; loss of appetite; vomiting; blurred or decreased vision; intense headache; memory loss; hallucinations; confusion; disorientation; vertigo; convulsions; lethargy; coma; vomiting blood; blood in faeces; purpuric rash; bleeding from nose or gums; menorrhagia
Ringworm (Tinea),"itching; redness; ring-shaped rash; hair loss (scalp ringworm); scaling of skin (foot ringworm); thick, discoloured, brittle nails (nail ringworm)"
Road Traffic Injuries,injuries from crashes; disability; death
Rubella,mild fever; rash; muscle and joint pain; headache; swollen lymph glands
Salmonella (Non Typhoidal),fever; abdominal pain; diarrhoea; nausea; vomiting
Sand And Dust Storms,respiratory issues; cardiovascular problems
Scabies,severe itch; itchy lines (linear burrows); bumps (papules); enflamed bumps on male genitalia and female breasts; rash in infants and small children
Schistosomiasis,abdominal pain; diarrhoea; blood in stool; liver enlargement; haematuria (blood in urine); kidney damage; fibrosis of bladder and ureter; genital lesions; vaginal bleeding; pain during sexual intercourse; nodules in vulva
Schizophrenia,persistent delusions; persistent hallucinations; disorganized thinking; highly disorganized behaviour; limited speech; restricted emotions; social withdrawal; cognitive impairments
Sepsis,fever or low temperature; shivering; confusion; difficulty breathing; clammy and sweaty skin; extreme body pain; high heart rate; weak pulse; low blood pressure; low urine output; fast breathing (in children); convulsions (in children); pale skin (in children); lethargy (in children)
Sexually Transmitted Infections (Stis),persistent delusions; persistent hallucinations; disorganized thinking; highly disorganized behaviour; limited speech; restricted emotions; social withdrawal; cognitive impairments
Shingles (Herpes Zoster),painful rash; itching; tingling; numbness; fever; headache; chills; fatigue
Snakebite Envenoming,paralysis that may prevent breathing; bleeding disorders leading to fatal haemorrhage; irreversible kidney failure; tissue damage causing permanent disability and limb amputation
Social Determinants Of Health,lower life expectancy; poor health outcomes; higher mortality rates
Sodium Reduction,raised blood pressure; increased risk of cardiovascular diseases; gastric cancer; obesity; osteoporosis; Meniere’s disease; kidney disease
Soil Transmitted Helminth Infections,intestinal manifestations (diarrhoea and abdominal pain); malnutrition; general malaise and weakness; impaired growth and physical development; intestinal obstruction (in severe cases)
Spinal Cord Injury,"partial or complete loss of sensory and/or motor functions; bowel, bladder and sexual dysfunction; dysregulation of blood pressure, heart rate, and/or body temperature; spasticity; chronic pain; urinary tract infections; pressure ulcers; respiratory complications; autonomic dysreflexia; deep vein thrombosis; osteoporosis; depression"
Sporotrichosis,"nodules and plaques on exposed skin sites; ulceration of nodules and plaques; lymphocutaneous spread (sporotrichoid pattern); erythema multiforme (in cat-related infections); arthritis, respiratory infection, meningitis (rare deep forms)"
Substandard And Falsified Medical Products,ineffective treatment of illness; harmful effects due to contaminants or toxic substances; increased risk of antimicrobial resistance
Sugars And Dental Caries,tooth decay; dental cavities; pain and infection; tooth extraction
Suicide,"mental disorders (depression, alcohol use disorders); previous suicide attempt; breakdown in ability to deal with life stresses; conflict, disaster, violence, abuse, or loss; sense of isolation"
Syphilis,"primary stage: painless chancre; secondary stage: non-itchy rash, lesions; latent stage: often asymptomatic; tertiary stage: brain and cardiovascular diseases; congenital syphilis: rashes, inflammation, anaemia, developmental delays"
Taeniasis Cysticercosis,"abdominal pain; nausea; diarrhoea or constipation; neurocysticercosis: severe headache, blindness, convulsions, epileptic seizures"
Tetanus,jaw cramping or inability to open mouth; muscle spasms; trouble swallowing; seizures; headache; fever and sweating; changes in blood pressure or heart rate
Trachoma,inflammation of the eye; scarring of the eyelid; eyelashes rubbing against the eyeball (trichiasis); constant pain and light intolerance; scarring of the cornea; visual impairment or blindness
Trichomoniasis,"vaginal discharge (in women); itch, pain when urinating, pain during intercourse (in women); urethral discharge or pain when urinating (in men)"
Trypanosomiasis Human African (Sleeping Sickness),"first stage: bouts of fever, headache, enlarged lymph nodes, joint pains, itching; second stage: behavior changes, confusion, sensory disturbances, poor coordination, sleep cycle disturbance"
Tuberculosis,prolonged cough (sometimes with blood); chest pain; weakness; fatigue; weight loss; fever; night sweats
Tungiasis,pain and itching; difficulty walking; lesions on feet (whitish disc with dark center); abscesses from bacterial superinfection
Typhoid,prolonged fever; fatigue; headache; nausea; abdominal pain; constipation or diarrhoea; rash
Ultraviolet Radiation,"sunburn; premature skin aging; skin cancer (melanoma, squamous cell carcinoma, basal cell carcinoma); eye damage (cataracts, pterygium)"
West Nile Virus,"fever; headache; body aches; rash; severe cases: neurological symptoms (e.g., encephalitis)"
Zika Virus,rash; fever; conjunctivitis; muscle and joint pain; headache
Broken bone,"Symptoms of a broken bone include:; A visibly out-of-place or misshapen limb or joint; Swelling, bruising, or bleeding; Intense pain; Numbness and tingling; Broken skin with bone protruding; Limited mobility or inability to move a limb or put weight on the leg"
Allergic reactions,"Common symptoms of a mild allergic reaction include:; Symptoms of a moderate or severe reaction include:; A few hives (especially over the neck and face); Itching; Nasal congestion; Rashes; Watery, red eyes; Abdominal pain; Abnormal (high-pitched) breathing sounds; Anxiety; Chest discomfort or tightness; Cough; Diarrhea; Difficulty breathing, wheezing; Difficulty swallowing; Dizziness or lightheadedness; Flushing or redness of the face; Hives all over; NauseaÂ or vomiting; Palpitations; Swelling of the face, eyes, or tongue; Unconsciousness"
Traumatic amputation,"Symptoms may include:; Bleeding (may be minimal or severe, depending on the location and nature of the injury); Pain (the degree of pain is not always related to the severity of the injury or the amount of bleeding); Crushed body tissue (badly mangled, but still partially attached by muscle, bone, tendon, or skin)"
Breathing difficulties - first aid,"People having breathing difficulty will often look uncomfortable. They may be:; They might have other symptoms, including:; If an allergy is causing the breathing problem, they might have a rash or swelling of the face, tongue, or throat.; If an injury is causing breathing difficulty, they might be bleeding or have a visible wound.; Breathing rapidly; Unable to breathe lying down and need to sit up to breathe; Very anxious and agitated; Sleepy or confused; Dizziness or lightheadedness; Pain; Fever; Cough; Nausea; Vomiting; Bluish lips, fingers, and fingernails; Chest moving in an unusual way; Gurgling, wheezing, or making whistling sounds; Muffled voice or difficulty speaking; Coughing up blood; Rapid or irregular heartbeat; Sweating"
Tailbone trauma,Symptoms include:; Bruising on the lower part of the spine; Pain when sitting or putting pressure on the tailbone
CPR,
CPR - infant,CPR should be done if the infant has the following symptoms:; No breathing; No pulse; Unconsciousness
CPR - young child (age 1 year to onset of puberty),CPR should be done if the child has any of the following symptoms:; No breathing; No pulse; Unconsciousness
CPR - adult and child after onset of puberty,CPR should be done if a person has any of the following symptoms:; No breathing or difficulty breathing (gasping); No pulse; Unconsciousness
Dislocation,"A dislocated joint may be:; Nursemaid's elbow, or pulled elbow, is a partial dislocation that is common in toddlers. The main symptom is pain so that the child doesn't want to use the arm. This dislocation can be easily treated in your provider's office.; Accompanied by numbness or tingling at the joint or beyond it; Very painful, especially if you try to use the joint or put weight on it; Limited in movement; Swollen or bruised; Visibly out of place, discolored, or misshapen"
Drug use first aid,"Drug overdose symptoms vary widely, depending on the specific drug used, but may include:; Drug withdrawal symptoms also vary widely, depending on the specific drug used, but may include:; Abnormal pupil size or pupils that don't change size when light is shined into them; Agitation; Seizures, tremors; Delusional or paranoid behavior, hallucinations; Difficulty breathing; Drowsiness, coma; Nausea and vomiting; Staggering or unsteady gait (ataxia); Sweating or extremely dry, hot skin, blisters, rash; Violent or aggressive behavior; Death; Abdominal cramping; Agitation, restlessness; Cold sweat; Delusions, hallucinations; Depression; Nausea, vomiting, diarrhea; Seizures; Death"
How to make a sling,
Smashed fingers,Symptoms may include any of the following:; Difficulty moving the tip of the finger; Discoloration or bruising of the finger or fingernail; Finger pain; Loss of fingernail; Swelling
Broken or dislocated jaw,"Symptoms of a broken jaw include:; Symptoms of a dislocated jaw include:; Pain in the face or jaw, located in front of the ear or on the affected side,Â that gets worse with movement; Bruising and swelling of the face, bleeding from the mouth; Difficulty chewing; Misaligned teeth or jaw; Jaw stiffness, difficulty opening the mouth widely, or problem closing the mouth; Jaw moving to one side when opening; Jaw tenderness or pain, worse with biting or chewing; Loose or damaged teeth; Lump or abnormal appearance of the cheek or jaw; Numbness of the face (particularly the lower lip); Ear pain; Pain in the face or jaw, located in front of the ear or on the affected side that gets worse with movement; Bite that feels ""off"" or crooked; Problems talking; Inability to close the mouth; Drooling because of inability to close the mouth; Locked jaw or jaw that protrudes forward; Teeth that do not line up properly"
Unconsciousness - first aid,"The person will be unresponsive (does not respond to activity, touch, sound, or other stimulation).; The following symptoms may occur after a person has been unconscious:; If the person is unconscious from choking, symptoms may include:; Being asleep is not the same as being unconscious. A sleeping person will respond to loud noises or gentle shaking. An unconscious person will not.; Amnesia for (not remembering) events before, during, and even after the period of unconsciousness; Confusion; Drowsiness; Headache; Inability to speak or move parts of the body (stroke symptoms); Lightheadedness; Loss of bowel or bladder control (incontinence); Rapid heartbeat (palpitations); Slow heartbeat; Stupor (severe confusion and weakness); Inability to speak; Difficulty breathing; Noisy breathing or high-pitched sounds while inhaling; Weak, ineffective coughing; Bluish skin color"
Crush injury,
Radiation sickness,"Symptoms of radiation sickness may include:; Your health care provider will advise you how best to treat these symptoms. Medicines may be prescribed to help reduce nausea, vomiting, and pain. Blood transfusions may be given for anemiaÂ (low counts of healthy red blood cells). Antibiotics are used to prevent or fight infections.; Weakness, fatigue, fainting, confusion; Bleeding from the nose, mouth, gums, and rectum; Bruising, skin burns, open sores on the skin, sloughing of skin; Dehydration; Diarrhea, bloody stool; Fever; Hair loss; Inflammation of exposed areas (redness, tenderness, swelling, bleeding); Nausea and vomiting, including vomiting of blood; Ulcers (sores) in the mouth, esophagus (food pipe), stomach or intestines"
Poison ivy - oak - sumac rash,"Symptoms include:; The reaction can vary from mild to severe. In rare cases, the person with the rash needs to be treated in the hospital. The worst symptoms are often seen during days 4 to 7 after coming in contact with the plant. The rash may last for 1 to 3 weeks.; Extreme itching; Red, streaky, patchy rash where the plant touched the skin; Red bumps, which may form large, weeping blisters"
Head injury - first aid,"Head injuries may cause bleeding in the brain tissue and the layers that surround the brain (subarachnoid hemorrhage, subdural hematoma, epidural hematoma).; Symptoms of a head injury can occur right away or may develop slowly over several hours or days. Even if the skull is not fractured, the brain can hit the inside of the skull and be bruised. The head may look fine, but problems could result from bleeding or swelling inside the skull.; The spinal cord is also likely to be injured from falls from a significant height or ejection from a vehicle.; Some head injuries cause changes in brain function. This is called a traumatic brain injury. A concussion is a type of traumatic brain injury. Symptoms of a concussion can range from mild to severe."
Spinal injury,"Symptoms of a spinal cord injury may include any of the following:; Head that is in an unusual position; Numbness or tingling that spreads down an arm or leg; Weakness; Difficulty walking; Paralysis (loss of movement) of arms or legs; Loss of bladder or bowel control; Shock (pale, clammy skin, bluish lips and fingernails, acting dazed or semiconscious); Lack of alertness (unconsciousness); Stiff neck, headache, or neck pain"
Burns,"Burn symptoms can include:; You may have an airway burn if you have:; Blisters that are either intact (unbroken)Â or have ruptured and are leaking fluid.; Pain -- How much pain you have is unrelated to the level of burn. The most serious burns can be painless.; Peeling skin.; ShockÂ -- Watch for pale and clammy skin, weakness, blue lips and fingernails, and a decrease in alertness.; Swelling.; Red, white, or charred skin.; Burns on the head, face, neck, eyebrows, or nose hairs; Burned lips and mouth; Coughing; Difficulty breathing; Dark, black-stained mucus; Voice changes; Wheezing"
Snake bites,"Symptoms depend on the type of snake, but may include:; Rattlesnake bites are painful when they occur. Symptoms usually begin right away and may include:; Cottonmouth and copperhead bites are painful right when they occur. Symptoms, which usually begin right away, may include:; Coral snake bites may be painless at first. Major symptoms may not develop for hours. Do not make the mistake of thinking you will be fine if the bite area looks good and you are not in a lot of pain. Untreated coral snake bites can be deadly. Symptoms may include:; Bleeding from wound; Blurred vision; Burning of the skin; Seizures (convulsions); Diarrhea; Dizziness; Excessive sweating; Fainting; Fang marks in the skin; Fever; Increased thirst; Loss of muscle coordination; Nausea and vomiting; Numbness and tingling; Rapid pulse; Tissue death; Severe pain; Skin discoloration; Swelling at the site of the bite; Weakness; Bleeding; Breathing difficulty; Blurred vision; Eyelid drooping; Low blood pressure; Nausea and vomiting; Numbness; Pain at site of bite; Paralysis; Rapid pulse; Skin color changes; Swelling; Tingling; Tissue damage; Thirst; Tiredness; Weakness; Weak pulse; Bleeding; Breathing difficulty; Low blood pressure; Nausea and vomiting; Numbness and tingling; Pain at site of bite; Shock; Skin color changes; Swelling; Thirst; Tiredness; Tissue damage; Weakness; Weak pulse; Blurred vision; Breathing difficulty; Convulsions; Drowsiness; Eyelid drooping; Headache; Low blood pressure; Mouth watering (excessive salivation); Nausea and vomiting; Numbness; Pain and swelling at site of bite; Paralysis; Shock; Slurred speech; Swallowing difficulty; Swelling of tongue and throat; Weakness; Skin color changes; Skin tissue damage; Stomach or abdominal pain; Weak pulse"
Marine animal stings or bites,"There may be pain, burning, swelling, redness, or bleeding near the area of the bite or sting. Other symptoms can affect the entire body, and may include:; Cramps; Diarrhea; Difficulty breathing; Groin pain, armpit pain; Fever; Nausea or vomiting; Paralysis; Sweating; Unconsciousness or sudden death from heart rhythm irregularities; Weakness, faintness, dizziness"
Insect bites and stings,"Symptoms depend on the type of bite or sting. They may include:; Some people have severe, life-threatening allergic reactions to bee stings or insect bites. This is called anaphylactic shock. This condition can occur very quickly and lead to rapid death if not treated quickly.; Symptoms of anaphylaxis can occur quickly and affect the whole body. They include:; Pain; Redness; Swelling; Itching; Burning; Numbness; Tingling; Abdominal pain or vomiting; Chest pain; Difficulty swallowing; Difficulty breathing; Face or mouth swelling; Fainting or lightheadedness; Rash or skin flushing"
Foreign object - swallowed,"Symptoms include:; Sometimes, only minor symptoms are seen at first. The object may be forgotten until symptoms such as inflammation or infection develop.; Choking; Coughing; Wheezing; Noisy breathing; No breathing or breathing trouble (respiratory distress); Chest, throat, or neck pain; Turning blue, red, or white in the face; Difficulty swallowing saliva"
Foreign body in the nose,"Symptoms that your child may have a foreign body in his or her nose include:; Difficulty breathing through the affected nostril; Feeling of something in the nose; Foul-smelling or bloody nasal discharge; Irritability, particularly in infants; Irritation or pain in the nose"
