Disease Name,Symptoms
Rheumatic Heart Disease,"fever; painful joints; fatigue; jerky uncontrollable body movements (chorea); painless nodules under the skin; rash; heart murmur; chest pain or discomfort; shortness of breath; swelling of stomach, hands or feet; rapid or irregular heartbeat"
Rheumatoid Arthritis,chronic pain; stiffness; tenderness; heat; swelling in joints; fatigue; fever; poor sleep quality; loss of appetite; depressive symptoms
Rift Valley Fever,flu-like fever; muscle and joint pain; headache; neck stiffness; sensitivity to light; loss of appetite; vomiting; blurred or decreased vision; intense headache; memory loss; hallucinations; confusion; disorientation; vertigo; convulsions; lethargy; coma; vomiting blood; blood in faeces; purpuric rash; bleeding from nose or gums; menorrhagia
Ringworm (Tinea),"itching; redness; ring-shaped rash; hair loss (scalp ringworm); scaling of skin (foot ringworm); thick, discoloured, brittle nails (nail ringworm)"
Road Traffic Injuries,injuries from crashes; disability; death
Rubella,mild fever; rash; muscle and joint pain; headache; swollen lymph glands
Salmonella (Non Typhoidal),fever; abdominal pain; diarrhoea; nausea; vomiting
Sand And Dust Storms,respiratory issues; cardiovascular problems
Scabies,severe itch; itchy lines (linear burrows); bumps (papules); enflamed bumps on male genitalia and female breasts; rash in infants and small children
Schistosomiasis,abdominal pain; diarrhoea; blood in stool; liver enlargement; haematuria (blood in urine); kidney damage; fibrosis of bladder and ureter; genital lesions; vaginal bleeding; pain during sexual intercourse; nodules in vulva
Schizophrenia,persistent delusions; persistent hallucinations; disorganized thinking; highly disorganized behaviour; limited speech; restricted emotions; social withdrawal; cognitive impairments
Sepsis,fever or low temperature; shivering; confusion; difficulty breathing; clammy and sweaty skin; extreme body pain; high heart rate; weak pulse; low blood pressure; low urine output; fast breathing (in children); convulsions (in children); pale skin (in children); lethargy (in children)
Sexually Transmitted Infections (Stis),persistent delusions; persistent hallucinations; disorganized thinking; highly disorganized behaviour; limited speech; restricted emotions; social withdrawal; cognitive impairments
Shingles (Herpes Zoster),painful rash; itching; tingling; numbness; fever; headache; chills; fatigue
Snakebite Envenoming,paralysis that may prevent breathing; bleeding disorders leading to fatal haemorrhage; irreversible kidney failure; tissue damage causing permanent disability and limb amputation
Social Determinants Of Health,lower life expectancy; poor health outcomes; higher mortality rates
Sodium Reduction,raised blood pressure; increased risk of cardiovascular diseases; gastric cancer; obesity; osteoporosis; Meniere’s disease; kidney disease
Soil Transmitted Helminth Infections,intestinal manifestations (diarrhoea and abdominal pain); malnutrition; general malaise and weakness; impaired growth and physical development; intestinal obstruction (in severe cases)
Spinal Cord Injury,"partial or complete loss of sensory and/or motor functions; bowel, bladder and sexual dysfunction; dysregulation of blood pressure, heart rate, and/or body temperature; spasticity; chronic pain; urinary tract infections; pressure ulcers; respiratory complications; autonomic dysreflexia; deep vein thrombosis; osteoporosis; depression"
Sporotrichosis,"nodules and plaques on exposed skin sites; ulceration of nodules and plaques; lymphocutaneous spread (sporotrichoid pattern); erythema multiforme (in cat-related infections); arthritis, respiratory infection, meningitis (rare deep forms)"
Substandard And Falsified Medical Products,ineffective treatment of illness; harmful effects due to contaminants or toxic substances; increased risk of antimicrobial resistance
Sugars And Dental Caries,tooth decay; dental cavities; pain and infection; tooth extraction
Suicide,"mental disorders (depression, alcohol use disorders); previous suicide attempt; breakdown in ability to deal with life stresses; conflict, disaster, violence, abuse, or loss; sense of isolation"
Syphilis,"primary stage: painless chancre; secondary stage: non-itchy rash, lesions; latent stage: often asymptomatic; tertiary stage: brain and cardiovascular diseases; congenital syphilis: rashes, inflammation, anaemia, developmental delays"
Taeniasis Cysticercosis,"abdominal pain; nausea; diarrhoea or constipation; neurocysticercosis: severe headache, blindness, convulsions, epileptic seizures"
Tetanus,jaw cramping or inability to open mouth; muscle spasms; trouble swallowing; seizures; headache; fever and sweating; changes in blood pressure or heart rate
Trachoma,inflammation of the eye; scarring of the eyelid; eyelashes rubbing against the eyeball (trichiasis); constant pain and light intolerance; scarring of the cornea; visual impairment or blindness
Trichomoniasis,"vaginal discharge (in women); itch, pain when urinating, pain during intercourse (in women); urethral discharge or pain when urinating (in men)"
Trypanosomiasis Human African (Sleeping Sickness),"first stage: bouts of fever, headache, enlarged lymph nodes, joint pains, itching; second stage: behavior changes, confusion, sensory disturbances, poor coordination, sleep cycle disturbance"
Tuberculosis,prolonged cough (sometimes with blood); chest pain; weakness; fatigue; weight loss; fever; night sweats
Tungiasis,pain and itching; difficulty walking; lesions on feet (whitish disc with dark center); abscesses from bacterial superinfection
Typhoid,prolonged fever; fatigue; headache; nausea; abdominal pain; constipation or diarrhoea; rash
Ultraviolet Radiation,"sunburn; premature skin aging; skin cancer (melanoma, squamous cell carcinoma, basal cell carcinoma); eye damage (cataracts, pterygium)"
West Nile Virus,"fever; headache; body aches; rash; severe cases: neurological symptoms (e.g., encephalitis)"
Zika Virus,rash; fever; conjunctivitis; muscle and joint pain; headache
