id,disease,Symptoms,When to see a doctor,Causes,Risk factors,Complications,Prevention
332,Bronchitis,"If you have acute bronchitis, you may have cold symptoms, such as:
Cough
Production of mucus (sputum), which can be clear, white, yellowish-gray or green in color — rarely, it may be streaked with blood
Sore throat
Mild headache and body aches
Slight fever and chills
Fatigue
Chest discomfort
Shortness of breath and wheezing
While these symptoms usually improve in about a week, you may have a nagging cough that lingers for several weeks.
For chronic bronchitis, signs and symptoms may include:
Cough
Production of mucus
Fatigue
Chest discomfort
Shortness of breath
Chronic bronchitis is typically defined as a productive cough that lasts at least three months, with bouts that recur for at least two consecutive years. If you have chronic bronchitis, you're likely to have periods when your cough or other symptoms worsen. It's also possible to have an acute infection on top of chronic bronchitis.","Contact your doctor or clinic for advice if your cough:
Is accompanied by a fever higher than 100.4 F (38 C).
Produces blood.
Is associated with serious or worsening shortness of breath or wheezing.
Lasts more than three weeks.
Before you go in, your doctor or clinic can give you guidance on how to prepare for your appointment.","Acute bronchitis is usually caused by viruses, typically the same viruses that cause colds and flu (influenza). Many different viruses — all of which are very contagious — can cause acute bronchitis. Antibiotics don't kill viruses, so this type of medication isn't useful in most cases of bronchitis.
Viruses spread mainly from person to person by droplets produced when an ill person coughs, sneezes or talks and you inhale the droplets. Viruses may also spread through contact with an infected object. This happens when you touch something with the virus on it and then touch your mouth, eyes or nose.","Factors that increase your risk of bronchitis include:
Cigarette smoke.People who smoke or who live with a smoker are at higher risk of both acute bronchitis and chronic bronchitis.
Low resistance.This may result from another acute illness, such as a cold, or from a chronic condition that compromises your immune system. Older adults, infants and young children have greater vulnerability to infection.","Although a single episode of bronchitis usually isn't cause for concern, it can lead to pneumonia in some people. Repeated bouts of bronchitis, however, may mean that you have chronic obstructive pulmonary disease (COPD).","To reduce your risk of bronchitis, follow these tips:
Get an annual flu shot.Many cases of acute bronchitis result from influenza, a virus. Getting a yearly flu vaccine can help protect you from getting the flu. Also ask your doctor or clinic if you need a vaccination that protects against certain types of pneumonia.
Wash your hands.To reduce your risk of catching a viral infection, wash your hands frequently and get in the habit of using alcohol-based hand sanitizers. Also, avoid touching your eyes, nose and mouth.
Avoid close contact with people who have a viral infection.Stay away from people who have the flu or another respiratory illness.
Avoid cigarette smoke.Cigarette smoke increases your risk of chronic bronchitis."
333,Brucellosis,"Symptoms of brucellosis may show up anytime from a few days to a few months after infection. Symptoms are like those of the flu. They include:
Brucellosis symptoms may disappear for weeks or months and then return. Some people have long-term, called chronic, brucellosis. They have symptoms for years, even after treatment. Long-term symptoms may include:
Fever.
Chills.
Loss of appetite.
Heavy sweating.
Weakness.
Tiredness.
Joint, muscle and back pain.
Headache.
Tiredness.
Repeated fevers.
Swelling, called inflammation, of the inner lining of the heart chambers, called endocarditis.
Joint inflammation, called arthritis.
Arthritis of the spinal bones, called spondylitis.
Arthritis of joints where the spine and pelvis connect, called sacroiliitis.","Brucellosis can be hard to diagnose, especially in the early stages. At that point, it often seems like other conditions, such as the flu. Make a medical appointment if you are at risk for brucellosis and you have a fever that goes up fast or lasts, or muscle aches or unusual weakness.","Brucellosis bacteria are carried by many animals. The bacteria may or may not cause animals to be sick. Some that carry bacteria that can infect humans, include:
A form of brucellosis also affects harbor seals, porpoises and certain whales.
The most common ways that bacteria spread from animals to people are by:
Cattle, goats and sheep.
Pigs and wild hogs.
Dogs, especially those used in hunting.
Deer, elk, caribou and moose.
Bison.
Camels.
Brucella bacteria in the milk of infected animals can spread to humans unpasteurized, milk, ice cream, butter and cheeses. The bacteria can also come from raw or undercooked meat of infected animals.
Brucella bacteria spread easily in the air. Farmers, hunters, laboratory workers and slaughterhouse workers can breathe in the bacteria.
Bacteria in the blood, semen or placenta of an infected animal can enter a person's blood through a cut or other wound. Contact with animals, such as touching, brushing or playing with them, doesn't cause infection. So people rarely get brucellosis from their pets. Even so, people who have weakened immune systems should avoid touching dogs that have the disease.","Brucellosis is rare in the United States. But it's more common in other parts of the world, especially:
Southern Europe, including Portugal, Spain, Turkey, Italy, Greece, Southern France.
Eastern Europe.
Asia.
Africa.
The Caribbean.
The Middle East.
Veterinarians.
Dairy farmers.
Ranchers.
Slaughterhouse workers.
Hunters.
Microbiologists.","Brucellosis can affect almost any part of the body, including the reproductive system, liver, heart and central nervous system. Long-term, called chronic, brucellosis may cause complications in just one organ or through the body. Possible complications include:
This is one of the most serious complications of brucellosis. Untreated endocarditis can damage or destroy the heart valves. This is the main cause of death from brucellosis.
This is marked by pain, stiffness and swelling in the joints, especially the knees, hips, ankles, wrists and spine. Arthritis of the joints in the spine, called spondylitis, and the joints linking the lower spine and pelvis, called sacroiliitis, can be hard to treat. They may cause lasting damage.
The bacteria that cause brucellosis can infect the coiled tube above and behind the testicles that stores and transports sperm, called the epididymis. The infection can spread to the testicle. This causes swelling and pain, which may be severe.
Brucellosis can also affect the spleen and liver, causing them to get larger than usual.
These include possibly life-threatening illnesses such as swelling, called inflammation, of the membranes around the brain and spinal cord, called meningitis, or of the brain, called encephalitis.","To reduce the risk of getting brucellosis, take these precautions:
In recent years in the United States, few cases of brucellosis have been linked to raw dairy products from domestic herds. Still, it's best to avoid unpasteurized milk, cheese and ice cream, no matter where they come from. If you're traveling to other countries, avoid all raw dairy foods.
Cook a whole cut of meat until it reaches an inside temperature of 145 Fahrenheit (63 Celsius). Let it sit for at least three minutes before cutting or eating. It will be medium done. Cook ground meat to 160 F (71 C). That's well done. Cook poultry, including ground poultry, to 165 F (74 C). Don't eat undercooked meats.
If you're a veterinarian, farmer, hunter or slaughterhouse worker, wear rubber gloves when handling sick or dead animals or animal tissue. Wear gloves when helping an animal give birth.
For laboratory work, make sure all biosafety conditions are being met. Slaughterhouses should also take protective measures. These include wearing protective clothing and having the killing floor apart from other work areas.
In the United States, brucellosis in livestock is rare due to vaccination. Because the brucellosis vaccine is live, people who get stuck by a needle while vaccinating animals can get the disease. They need to be treated."
334,Brugada syndrome,"Brugada syndrome often doesn't cause any noticeable symptoms. Many people with Brugada syndrome don't know they have it.
Signs and symptoms that may be associated with Brugada syndrome include:
A major sign of Brugada syndrome is an irregular result on an electrocardiogram (ECG), a test that measures the electrical activity of the heart.
Dizziness
Fainting
Gasping and labored breathing, particularly at night
Irregular heartbeats or palpitations
Seizures","Brugada syndrome signs and symptoms are similar to those of some other heart rhythm disorders. It's important that you see a health care provider to find out if Brugada syndrome or another heart rhythm disorder is causing symptoms.
If you faint and you think it may be because of a heart condition, seek emergency medical attention.
If your parent, sibling or child has been diagnosed with Brugada syndrome, you may want to ask your provider if you should have testing to see if you're at risk of Brugada syndrome.","Brugada syndrome is a heart rhythm disorder. Each beat of the heart is triggered by an electrical signal made by special cells in the right upper chamber of the heart. Tiny pores, called channels, on each of these cells direct this electrical activity, which makes the heart beat.
In Brugada syndrome, a change in these channels causes the heart to beat too fast, creating a dangerous heart rhythm (ventricular fibrillation).
As a result, the heart doesn't pump enough blood to the rest of the body. An irregular rhythm that lasts for a short time can cause fainting. Sudden cardiac death can occur if the irregular heartbeat doesn't stop.
Brugada syndrome may be caused by:
A structural problem in the heart, which may be hard to detect
An imbalance in chemicals that help send electrical signals through the body (electrolytes)
Use of certain prescription medications or cocaine","Risk factors for Brugada syndrome include:
This condition is often passed down through families (inherited). Having family members with Brugada syndrome increases a person's risk of having it, too.
Men are more frequently diagnosed with Brugada syndrome than are women.
Brugada syndrome occurs more frequently in Asians than in people of other races.
A fever doesn't cause Brugada syndrome, but it can irritate the heart and trigger fainting or sudden cardiac arrest in people with Brugada syndrome, especially children.","Complications of Brugada syndrome require emergency medical care. Brugada syndrome complications include:
If not treated immediately, this sudden loss of heart function, breathing and consciousness, which often occurs while sleeping, is deadly. With fast, appropriate medical care, survival is possible.
With Brugada syndrome, fainting requires emergency medical attention.","If someone in your family has Brugada syndrome, genetic testing can be done to determine if you have, or are at risk of, the condition."
335,Buerger disease,"Buerger disease symptoms include:
Tingling or numbness in the fingers or toes.
Changes in skin color in the hands and feet. The skin may look pale gray, red or blue. Depending on your skin color, these color changes may be harder or easier to see.
Pain in the feet that occurs with walking. The pain may make it difficult to walk long distances.
Painful open sores on fingers and toes. Pain in the fingers and toes may become severe and occur at rest.
Inflammation of a vein just below the skin's surface, due to a blood clot in the vein.",See a health care provider if you think you have symptoms of Buerger disease.,,"The biggest risk factor for Buerger disease is smoking or using any type of tobacco. The disease can occur in people who smoke cigarettes, use cigars and chew tobacco. The rates of Buerger disease are highest in areas of the Mediterranean, Middle East and Asia where heavy smoking is most common.
Some research says that long-term use of marijuana, also called cannabis, also raises the risk of blood vessel problems similar to those of Buerger disease.
Other risk factors for Buerger disease include being male and being younger than 45 years old. Long-term infection of the gums in the mouth may also increase the risk. But more study is needed to confirm this link.","Buerger disease decreases blood flow to the hands and feet. As the disease gets worse, the skin and tissue in the affected areas do not get enough blood. This can cause painful open sores that do not heal. The sores may lead to a complication called gangrene.
Symptoms of gangrene include black or blue skin, a loss of feeling in the affected finger or toe, and a bad smell from the area. Gangrene is a serious condition. Surgery is usually needed to remove the affected finger, toe or other tissue.","Nearly everyone who has Buerger disease has smoked or used some form of tobacco. To prevent Buerger disease, it's important to not use tobacco.
Quitting smoking can be hard. Talk to a health care provider about ways to quit."
336,Bulimia nervosa,"Bulimia symptoms may include:
Living in fear of gaining weight and trying to lose weight in unhealthy ways.
Repeatedly eating unusually large amounts of food in one sitting.
Feeling a loss of control during binge eating. You may feel like you can't stop eating or can't control what you eat.
Fasting, limiting calories or not eating certain foods between binges.
Using dietary supplements or herbal products for weight loss. These products can be dangerous.
Being very unhappy with your body shape and weight.
Letting your body shape and weight guide how you feel about yourself and your worth.
People with bulimia may use different methods to purge. The severity of bulimia depends on the number of times a week that you purge and the problems caused by doing so.","If you have any bulimia symptoms, seek medical help right away. If left untreated, bulimia can severely affect your physical and mental health.
Talk to your primary healthcare professional or a mental health professional about your bulimia symptoms and feelings. If you're not sure if you want to seek treatment, talk to someone about what you're going through. This could be a friend or loved one, a teacher, a faith leader, or someone else you trust. This person can help you take the first steps to get help.",,"Females are more likely to have bulimia than males. Bulimia often begins in the late teens or young adulthood.
Factors that raise your risk of bulimia include:
Family history and genes.Having a family history of eating problems and weight-control issues can increase the risk of an eating disorder. People with first-degree relatives — siblings, parents or children — who are diagnosed with an eating disorder may be more likely to have an eating disorder. This suggests a possible genetic link.
Dieting.People who diet are more likely to have eating disorders. Many people with bulimia severely limit calories between binge-eating sessions. This may cause them to binge eat again and then purge. Other causes for binge eating can include stress, strong emotions, having a distorted or negative body image and boredom.","Bulimia may cause many serious and even life-threatening complications, including:
Not seeing yourself as worthy and feeling hopeless or even suicidal.
Problems getting along with others or being socially isolated.
Poor nutrition.
Not drinking enough fluids, which can lead to major medical problems, such as kidney failure.
Heart problems, such as an irregular heartbeat or heart failure.
Severe tooth decay and gum disease.
Not having a period or not having a period on a regular schedule.
Gastrointestinal problems, including tears in the tube that carries food, or a hole in your stomach or small intestine. You also could have rectal prolapse, which is when part of the large intestine slips outside the anus.","Although there's no sure way to prevent bulimia, you can steer someone toward healthier behavior or professional treatment before it gets worse. Here's how you can help:
Promote and support a healthy body image in your children, no matter what their size or shape. Help them become more confident in many parts of their personality, not just how they look.
Have regular, enjoyable family meals.
Don't talk about weight or shape at home.
Talk with your primary healthcare professional to look for early signs of an eating problem.
If you notice a loved one or friend who seems to have food issues that could lead to or suggest an eating disorder, think about talking to the person about these issues and ask how you can help. If you do so, be supportive."
337,Bullous pemphigoid,"The symptoms of bullous pemphigoid may include:
Itching, which can start weeks or months before blisters form.
Large blisters that don't break easily, often found along skin folds. On brown and Black skin the blisters may be dark pink, brown or black. On white skin they may be yellow, pink or red.
Pain.
A rash.
Small blisters or sores in the mouth or other mucous membranes. This is a symptom of a rare type of the disease called mucous membrane pemphigoid.","See a healthcare professional if you have:
Blisters on your eyes.
An infection.
Blisters that are opening up and leaking.","The symptoms of bullous pemphigoid occur when the immune system attacks a layer of tissue in the skin. The cause of this problem is not well understood. In some cases, the condition is brought on by:
Light and radiation treatments.Ultraviolet light therapy to treat certain skin conditions may bring on bullous pemphigoid. Also, radiation to treat cancer can cause the condition.
Medical conditions.Psoriasis, lichen planus, dementia, Parkinson's disease, stroke and multiple sclerosis are among the conditions that may be related with bullous pemphigoid.
The condition isn't an infection and it isn't contagious.","Bullous pemphigoid is most common in people over age 60, and the risk increases with age. The condition can be life-threatening for older people who have other conditions at the same time.","Possible complications of bullous pemphigoid include:
Infection.
Changes in skin color after the affected skin heals. This change in skin color is called post-inflammatory hyperpigmentation when the skin darkens and post-inflammatory hypopigmentation when the skin loses color. People with brown or Black skin have a higher risk of long-term skin color changes.
Side effects from the medicine used to treat bullous pemphigoid.",
338,Bundle branch block,"In most people, bundle branch block doesn't cause symptoms. Some people with the condition don't know they have bundle branch block.
Rarely, symptoms of bundle branch block may include fainting (syncope) or feeling as if you're going to faint (presyncope).","If you've fainted, see a health care provider to rule out serious causes.
If you have heart disease or have been diagnosed with bundle branch block, ask your provider how often you should have follow-up visits.","The cause for bundle branch blocks can differ depending on whether the left or the right bundle branch is affected. Sometimes, there is no known cause.
Causes can include:
Heart attack (myocardial infarction)
Inflammation of the heart muscle (myocarditis)
Thickened, stiffened or weakened heart muscle (cardiomyopathy)
Blood clot in the lungs (pulmonary embolism)
Heart attack (myocardial infarction)
Heart structure problems that are present at birth (congenital heart defects) — such as a hole in the wall separating the upper chambers of the heart (atrial septal defect)
Inflammation of the heart muscle (myocarditis)","Risk factors for bundle branch block include:
Bundle branch block is more common in older adults than in younger people.","If both the right and the left bundles are blocked, the main complication is a complete blockage of the electric signaling from the upper to the lower chambers of the heart. The lack of signaling can slow the heart rate. A slowed heart rate may lead to fainting, irregular heart rhythms and other serious complications.
Because bundle branch block affects the electrical activity of the heart, it can sometimes complicate the accurate diagnosis of other heart conditions, especially heart attacks. It may lead to delays in proper management of those heart conditions.",
339,Bunions,"The symptoms of a bunion include:
A bulging bump on the outside of the base of the big toe.
Swelling, a change in color or soreness around the big toe joint.
Corns or calluses — these often form where the first and second toes rub against each other.
Ongoing pain or pain that comes and goes.
Stiffness or limited movement of the big toe, which could lead to trouble walking.
Hard skin on the sole of the foot.","Bunions often don't need medical treatment. But some symptoms should be checked by a member of your health care team. Or you could see a doctor who treats foot conditions, called a podiatrist, or an orthopedic foot specialist. Get a checkup if you have:
Ongoing pain in the big toe or foot.
A bump on the big toe joint.
Less movement in the big toe or foot.
Trouble finding shoes that fit properly because of a bunion.","Bunions might be linked with some types of arthritis. The link is especially strong with types of arthritis that involve painful swelling due to a problem with the immune system. These conditions include rheumatoid arthritis.
Inherited foot type.
Foot stress or injuries.
Defects present at birth.","These factors might raise the risk of bunions:
Wearing high heels forces the toes into the front of the shoes. Often, this crowds the toes.
People who wear shoes that are too tight, too narrow or too pointed are more likely to get bunions.
Having this condition can make you more likely to get bunions.
The tendency to get bunions might be due to an inherited problem with the structure or anatomy of the foot.","Bunions can lead to health problems that include:
With this condition, the small fluid-filled pads that cushion the bones near the joints become inflamed. This leads to pain.
This condition causes pain and swelling in the ball of the foot.",
340,Viral hemorrhagic fevers,"Symptoms of viral hemorrhagic fevers vary by disease. Mainly, early symptoms can include:
Fever.
Tiredness, weakness or feeling unwell.
Muscle, bone or joint aches.
Nausea and vomiting.
Diarrhea.","The best time to see a healthcare professional is before you travel to a country where you might get an infectious disease. Then you can get vaccinations and pre-travel advice for staying healthy.
If you get symptoms once you return home from your trip, talk to a healthcare professional. If possible, see one trained in international medicine or infectious diseases. Tell your care professional where you've traveled.","Viral hemorrhagic fevers are spread by contact with infected animals. The viruses that cause viral hemorrhagic fevers live in many animal hosts. Most often, the hosts include mosquitoes, ticks, rodents, nonhuman primates or bats.","Living in or traveling to an area where a certain viral hemorrhagic fever is common raises your risk of getting infected with that virus. Other factors that can increase your risk include:
Working with infected people.
Killing or eating infected animals.
Working outdoors or in rat-infested buildings.
Being around infected blood or other body fluids.","Viral hemorrhagic fevers can cause:
Septic shock.
Failure in more than one organ.
Death.","It can be hard to prevent viral hemorrhagic fevers. If you live in, work in or travel to areas where these diseases are common, use protective barriers when working with blood or body fluids. For instance, wear gloves, gowns, eye masks and face shields. Also take care working with lab specimens and waste."
341,Burns,"Burn symptoms vary depending on how deep the skin damage is. It can take a day or two for the symptoms of a severe burn to develop.
First-degree burn, also called superficial burn.This minor burn affects only the outer layer of the skin, which is called the epidermis. It may cause pain and redness or other changes in skin color.
Second-degree burn, also called partial-thickness burn.This type of burn affects both the epidermis and the second layer of skin, which is called the dermis. It may cause swelling and red, white or splotchy skin. Blisters may develop, and pain can be terrible. Deep second-degree burns can cause scarring.
Third-degree burn, also called full-thickness burn.This burn involves all of the layers of skin and sometimes the fat and muscle tissue under the skin. Burned areas may be black, brown or white. The skin may look leathery. Third-degree burns can destroy nerves, so there may be little or no pain.","Call 911 or seek immediate care for:
Burns that may be deep, involving all layers of the skin.
Burns that cause the skin to be dry and leathery.
Burns that look charred or have patches of white, brown or black.
Burns that are larger than 3 inches (about 8 centimeters) wide.
Burns that cover the hands, feet, face, neck, groin, buttocks or a major joint, or burns that encircle an arm or a leg.
Difficulty breathing due to breathing in smoke or fumes.
Burns that begin swelling very quickly.
Electrical burns, including those caused by lightning.
A sunburn with a fever greater than 103 degrees Fahrenheit (39 degrees Celsius) and vomiting.
An infection over a sunburned area.
A sunburn with confusion or passing out.
A sunburn with dehydration.
Take first-aid measures while waiting for emergency assistance.
A minor burn might need emergency care if it affects the eyes, mouth, hands or genitals. Babies and older adults might need emergency care for minor burns as well.
Signs of infection, such as oozing and streaks from the wound, and fever.
A burn or blister that's wider than 2 inches (about 5 centimeters) or doesn't heal in two weeks.
A burn and also have a history diabetes.
Also call your health professional if you think you might need a tetanus booster. You may need a booster shot if you haven't had a tetanus shot in the past five years. Try to get this within three days of the injury.","Burns are caused by:
Fire.
Hot liquid or steam.
Hot metal, glass or other objects.
Electrical currents.
Sunlight or other sources of ultraviolet radiation, such as tanning beds.
Chemicals such as strong acids, lye, paint thinner or gasoline.
Abuse.","Risk factors for burns include:
Workplace factors.People who work outdoors and people who work with flames, chemicals and other substances that cause burns are at increased risk of burns. Most burns occur in adults.
Dementia.Older adults with dementia are more likely to have burns from heat sources, such as too-hot tap water, hot drinks, food fats and cooking oils.
Being young.Very young children are unable to get away from heat sources or flames. Their burns often come from kitchen, car seat and bath hazards.
Alcohol.Risk of burns is increased among people who drink alcohol or use other substances that affect judgment.","Complications of deep or widespread burns can include:
Fluid loss. This includes low blood volume, which is also known as hypovolemia.
Dangerously low body temperature. This is known as hypothermia.
Breathing problems. These can occur after taking in hot air or smoke.
Irregular heartbeats. Also called arrythmias, irregular heartbeats can occur after electrical burns.
Scars and changes in skin color. Scars or ridged areas can be caused by an overgrowth of scar tissue. These types of scars are called hypertrophic scars or keloids. Black people have an increased risk of this type of scarring and may benefit from seeing a burn specialist or surgeon. Other people may develop skin color changes after burns if healed skin is lighter or darker than skin that wasn't burned.
Bone and joint problems. Scar tissue can shorten and tighten skin, muscles or tendons. This condition is also known as a contracture.
Skin cancer. Skin cancer can sometimes happen in scars from previous burns. Contact your healthcare professional if you notice a sore that isn't healing within a burn scar.","Burns are very common, and most of them are preventable. Kitchen-related injuries from hot drinks, soups and microwaved foods are especially common among children. You can take steps to reduce the risk of household burns."
342,Burning mouth syndrome,"Symptoms of burning mouth syndrome may include:
A burning or scalding feeling that most commonly affects your tongue, but also may affect your lips, gums, roof of your mouth, throat or whole mouth.
A feeling of dry mouth with increased thirst.
Taste changes in your mouth, such as a bitter or metallic taste.
Loss of taste.
Tingling, stinging or numbness in your mouth.
The discomfort from burning mouth syndrome can have several different patterns. It may:
Happen every day, with little discomfort when waking up, but become worse as the day goes on.
Start as soon as you wake up and last all day.
Come and go.
Whatever pattern of mouth discomfort you have, burning mouth syndrome may last for months to years. In rare cases, symptoms may suddenly go away on their own or happen less often. Sometimes the burning feeling may be briefly relieved during eating or drinking.
Burning mouth syndrome usually doesn't cause any physical changes to your tongue or mouth that can be seen.","If you have discomfort, burning or soreness of your tongue, lips, gums or other areas of your mouth, see your health care provider or dentist. They may need to work together to help pinpoint a cause and come up with an effective treatment plan.",The cause of burning mouth syndrome may be primary or secondary.,"Burning mouth syndrome is uncommon. However, your risk may be greater if you're:
Female.
In perimenopause or you're postmenopausal.
Over the age of 50.
A smoker.
Burning mouth syndrome usually starts suddenly, for no known reason. But certain factors may increase your risk of developing burning mouth syndrome, including:
Recent illness.
Some long-term medical conditions such as fibromyalgia, Parkinson's disease, autoimmune disorders and neuropathy.
Previous dental work.
Allergic reactions to food.
Certain medicines.
Traumatic life events.
Stress.",,"There's no known way to prevent burning mouth syndrome. But you may be able to reduce your discomfort by not using tobacco, limiting acidic or spicy foods, not drinking carbonated beverages, and using stress management methods. Or these measures may prevent your discomfort from feeling worse."
343,Meralgia paresthetica,"Meralgia paresthetica may cause these symptoms in the outer part of the thigh:
Tingling.
Burning pain.
Decreased feeling or numbness.
Increased sensitivity and pain to even a light touch.
These symptoms commonly occur on one side of your body and might intensify after walking or standing.",,"In most people, this nerve passes through the groin to the upper thigh without trouble. But in meralgia paresthetica, the lateral femoral cutaneous nerve becomes trapped. Often the inguinal ligament pinches the nerve. This ligament runs along the groin from the stomach to the upper thigh.
Tight clothing, such as belts, corsets and tight pants.
Obesity or weight gain.
Wearing a heavy tool belt.
Pregnancy.
Scar tissue near the inguinal ligament due to injury or past surgery.
Nerve injury also can cause meralgia paresthetica. Nerve injury can be due to diabetes, trauma after surgery or seat belt injury after a motor vehicle accident.","The following might increase your risk of meralgia paresthetica:
Diabetes.Diabetes-related nerve injury can lead to meralgia paresthetica.
Age.People between ages 30 and 60 are at a higher risk.",,
344,Burns,"Burn symptoms vary depending on how deep the skin damage is. It can take a day or two for the symptoms of a severe burn to develop.
First-degree burn, also called superficial burn.This minor burn affects only the outer layer of the skin, which is called the epidermis. It may cause pain and redness or other changes in skin color.
Second-degree burn, also called partial-thickness burn.This type of burn affects both the epidermis and the second layer of skin, which is called the dermis. It may cause swelling and red, white or splotchy skin. Blisters may develop, and pain can be terrible. Deep second-degree burns can cause scarring.
Third-degree burn, also called full-thickness burn.This burn involves all of the layers of skin and sometimes the fat and muscle tissue under the skin. Burned areas may be black, brown or white. The skin may look leathery. Third-degree burns can destroy nerves, so there may be little or no pain.","Call 911 or seek immediate care for:
Burns that may be deep, involving all layers of the skin.
Burns that cause the skin to be dry and leathery.
Burns that look charred or have patches of white, brown or black.
Burns that are larger than 3 inches (about 8 centimeters) wide.
Burns that cover the hands, feet, face, neck, groin, buttocks or a major joint, or burns that encircle an arm or a leg.
Difficulty breathing due to breathing in smoke or fumes.
Burns that begin swelling very quickly.
Electrical burns, including those caused by lightning.
A sunburn with a fever greater than 103 degrees Fahrenheit (39 degrees Celsius) and vomiting.
An infection over a sunburned area.
A sunburn with confusion or passing out.
A sunburn with dehydration.
Take first-aid measures while waiting for emergency assistance.
A minor burn might need emergency care if it affects the eyes, mouth, hands or genitals. Babies and older adults might need emergency care for minor burns as well.
Signs of infection, such as oozing and streaks from the wound, and fever.
A burn or blister that's wider than 2 inches (about 5 centimeters) or doesn't heal in two weeks.
A burn and also have a history diabetes.
Also call your health professional if you think you might need a tetanus booster. You may need a booster shot if you haven't had a tetanus shot in the past five years. Try to get this within three days of the injury.","Burns are caused by:
Fire.
Hot liquid or steam.
Hot metal, glass or other objects.
Electrical currents.
Sunlight or other sources of ultraviolet radiation, such as tanning beds.
Chemicals such as strong acids, lye, paint thinner or gasoline.
Abuse.","Risk factors for burns include:
Workplace factors.People who work outdoors and people who work with flames, chemicals and other substances that cause burns are at increased risk of burns. Most burns occur in adults.
Dementia.Older adults with dementia are more likely to have burns from heat sources, such as too-hot tap water, hot drinks, food fats and cooking oils.
Being young.Very young children are unable to get away from heat sources or flames. Their burns often come from kitchen, car seat and bath hazards.
Alcohol.Risk of burns is increased among people who drink alcohol or use other substances that affect judgment.","Complications of deep or widespread burns can include:
Fluid loss. This includes low blood volume, which is also known as hypovolemia.
Dangerously low body temperature. This is known as hypothermia.
Breathing problems. These can occur after taking in hot air or smoke.
Irregular heartbeats. Also called arrythmias, irregular heartbeats can occur after electrical burns.
Scars and changes in skin color. Scars or ridged areas can be caused by an overgrowth of scar tissue. These types of scars are called hypertrophic scars or keloids. Black people have an increased risk of this type of scarring and may benefit from seeing a burn specialist or surgeon. Other people may develop skin color changes after burns if healed skin is lighter or darker than skin that wasn't burned.
Bone and joint problems. Scar tissue can shorten and tighten skin, muscles or tendons. This condition is also known as a contracture.
Skin cancer. Skin cancer can sometimes happen in scars from previous burns. Contact your healthcare professional if you notice a sore that isn't healing within a burn scar.","Burns are very common, and most of them are preventable. Kitchen-related injuries from hot drinks, soups and microwaved foods are especially common among children. You can take steps to reduce the risk of household burns."
345,Bursitis,"If you have bursitis, the affected joint might:
Feel achy or stiff
Look swollen and red","Consult your doctor if you have:
Disabling joint pain
Sudden inability to move a joint
A fever","Throwing a baseball or lifting something over your head repeatedly
Leaning on your elbows for long periods
Other causes include injury or trauma to the affected area, inflammatory arthritis such as rheumatoid arthritis, gout and infection.","Anyone can develop bursitis, but certain factors can increase your risk:
Age.Bursitis becomes more common with aging.
Other medical conditions.Certain systemic diseases and conditions — such as rheumatoid arthritis, gout and diabetes — increase your risk of developing bursitis. Being overweight can increase your risk of developing hip and knee bursitis.",,"Wheeling heavy loads.Carrying heavy loads puts stress on the bursae in your shoulders. Use a dolly or a wheeled cart instead.
Taking frequent breaks.Alternate repetitive tasks with rest or other activities.
Maintaining a healthy weight.Being overweight places more stress on your joints.
Warming up and stretchingbefore strenuous activities to protect your joints from injury."
346,Knee bursitis,"Knee bursitis symptoms vary. They depend on which bursa is affected and what's causing the inflammation.
The affected portion of your knee might feel warm, tender and swollen. You also might feel pain when you move or when you're at rest.
A direct blow to the knee can cause symptoms to come on fast. But knee bursitis often stems from friction and irritation of the bursae. This can occur with jobs that require a lot of kneeling on hard surfaces. So, the symptoms can start slowly and become worse over time.","Sometimes, the bursa that lies over the kneecap can become infected. Call your healthcare professional if you have:
A fever or chills along with pain and swelling in your knee.
Long-lasting swelling or a change in the color of the skin around the knee.","Knee bursitis can be caused by:
Overuse of the knee or strenuous activity.
A direct blow to the knee.
An infection of the bursa due to bacteria, which could get into the knee through a bruise or a cut.
Medical problems that can happen with osteoarthritis, rheumatoid arthritis or gout in the knee.","Factors that can raise the risk of getting knee bursitis include:
Prolonged kneeling.The risk of bursitis is higher for people who work on their knees for long amounts of time. This includes carpet layers, plumbers and gardeners.
Playing certain sports.Sports that can lead to direct blows or frequent falls on the knee raise your risk of knee bursitis. So do sports that create friction between the knee and a mat. These sports include wrestling, football, basketball and volleyball. Runners also can get pain and inflammation in the bursa that's located on the inner side of the knee below the joint. This is called pes anserine bursitis.
Obesity and osteoarthritis.Pes anserine bursitis often occurs in obese women with osteoarthritis.",,"The following tips can help you prevent bursitis or keep it from coming back:
Wear kneepads.This can help if you often work on your knees or play sports that put your knees at risk. Use padding to cushion and protect your knees.
Take breaks.If you're on your knees for a while, take regular breaks to stretch your legs and rest your knees."
