Disease Name,Symptoms
Acute lymphocytic leukemia,"Signs and symptoms of acute lymphocytic leukemia may include:
Bleeding from the gums
Bone pain
Fever
Frequent infections
Frequent or severe nosebleeds
Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin
Pale skin
Shortness of breath
Weakness, fatigue or a general decrease in energy"
Acute lymphocytic leukemia,"Signs and symptoms of acute lymphocytic leukemia may include:
Bleeding from the gums
Bone pain
Fever
Frequent infections
Frequent or severe nosebleeds
Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin
Pale skin
Shortness of breath
Weakness, fatigue or a general decrease in energy"
Acute lymphocytic leukemia,"Signs and symptoms of acute lymphocytic leukemia may include:
Bleeding from the gums
Bone pain
Fever
Frequent infections
Frequent or severe nosebleeds
Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin
Pale skin
Shortness of breath
Weakness, fatigue or a general decrease in energy"
Acute myelogenous leukemia,"Symptoms of acute myelogenous leukemia may include:
Fever.
Pain. Common places for pain include the bones, back and stomach.
Feeling very tired.
Paleness or change in skin color.
Frequent infections.
Easy bruising.
Bleeding with no clear cause, such as in the nose or gums.
Shortness of breath."
Acute myelogenous leukemia,"Symptoms of acute myelogenous leukemia may include:
Fever.
Pain. Common places for pain include the bones, back and stomach.
Feeling very tired.
Paleness or change in skin color.
Frequent infections.
Easy bruising.
Bleeding with no clear cause, such as in the nose or gums.
Shortness of breath."
Acute myelogenous leukemia,"Symptoms of acute myelogenous leukemia may include:
Fever.
Pain. Common places for pain include the bones, back and stomach.
Feeling very tired.
Paleness or change in skin color.
Frequent infections.
Easy bruising.
Bleeding with no clear cause, such as in the nose or gums.
Shortness of breath."
Acute myelogenous leukemia,"Symptoms of acute myelogenous leukemia may include:
Fever.
Pain. Common places for pain include the bones, back and stomach.
Feeling very tired.
Paleness or change in skin color.
Frequent infections.
Easy bruising.
Bleeding with no clear cause, such as in the nose or gums.
Shortness of breath."
Radiation sickness,
Radiation sickness,
Acute kidney injury,"Symptoms of acute kidney injury may include:
Less urine output.
Fluid buildup, which can cause shortness of breath and swelling in the legs, ankles or feet.
Tiredness.
Confusion or fogginess.
Nausea.
Pain in the belly or in the side below the rib cage.
Weakness.
Irregular heartbeat.
Itching.
Loss of appetite.
Seizures or coma in severe cases.
Sometimes acute kidney injury causes no symptoms. Then it may be found through lab tests done for something else."
ARDS,"The seriousness of ARDS symptoms can vary depending on what's causing them and whether there is underlying heart or lung disease. Symptoms include:
Severe shortness of breath.
Labored and rapid breathing that is not usual.
Cough.
Chest discomfort.
Fast heart rate."
Acute sinusitis,"Acute sinusitis symptoms often include:
Thick, yellow or greenish mucus from the nose, known as a runny nose, or down the back of the throat, known as postnasal drip.
Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose.
Other signs and symptoms include:
Headache.
Aching in the teeth.
Changed sense of smell.
Cough.
Bad breath.
Tiredness.
Fever."
Acute sinusitis,"Acute sinusitis symptoms often include:
Thick, yellow or greenish mucus from the nose, known as a runny nose, or down the back of the throat, known as postnasal drip.
Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose.
Other signs and symptoms include:
Headache.
Aching in the teeth.
Changed sense of smell.
Cough.
Bad breath.
Tiredness.
Fever."
Autoimmune epilepsy,"Symptoms of autoimmune epilepsy may begin after an illness with a fever. Seizures come on suddenly and are serious. The types of seizures that may occur include:
Focal seizures.These are the most common type of seizure in autoimmune epilepsy. Sometimes focal seizures cause a change or loss of awareness. The seizures may cause the person to stare and not respond to the environment. Other types of focal seizures don't cause a change in awareness. These seizures cause different symptoms depending on which part of the brain causes them. Focal seizures may cause one part of the body to shake. Or they may cause a feeling that his has happened before, known as déjà vu. Focal seizures also may cause nausea or vision symptoms, such as flashing lights.
Faciobrachial dystonic seizures.These seizures cause muscle contractions on one side of the face and in an arm, both on the same side of the body.
Symptoms related to seizures include:
Seizures that happen several times a day.
Seizures that don't go away with antiseizure medicines.
Seizures that last more than five minutes or that occur close together without the person regaining consciousness, known as status epilepticus.
Autoimmune epilepsy symptoms also may include:
Memory loss and trouble with thinking.
Personality and behavior changes.
Involuntary movements or clumsy movements.
Irregular eye movements."
Alcohol use disorder,"Being unable to limit the amount of alcohol you drink
Wanting to cut down on how much you drink or making unsuccessful attempts to do so
Spending a lot of time drinking, getting alcohol or recovering from alcohol use
Feeling a strong craving or urge to drink alcohol
Failing to fulfill major obligations at work, school or home due to repeated alcohol use
Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems
Giving up or reducing social and work activities and hobbies to use alcohol
Using alcohol in situations where it's not safe, such as when driving or swimming
Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount"
Compulsive gambling,"Signs and symptoms of compulsive gambling (gambling disorder) can include:
Most casual gamblers stop when losing or set a limit on how much they're willing to lose. But people with a compulsive gambling problem are compelled to keep playing to recover their money — a pattern that becomes increasingly destructive over time. Some people may turn to theft or fraud to get gambling money.
Some people with a compulsive gambling problem may have periods of remission — a length of time where they gamble less or not at all. But without treatment, the remission usually isn't permanent.
Being preoccupied with gambling, such as constantly planning gambling activities and how to get more gambling money
Needing to gamble with increasing amounts of money to get the same thrill
Trying to control, cut back or stop gambling, without success
Feeling restless or irritable when you try to cut down on gambling
Trying to get back lost money by gambling more (chasing losses)
Asking others to bail you out of financial trouble because you gambled money away"
Nicotine dependence,"For some people, using any amount of tobacco can quickly lead to nicotine dependence. Signs that you may be addicted include:
You can't stop smoking.You've made one or more serious, but unsuccessful, attempts to stop.
You keep smoking despite health problems.Even though you've developed health problems with your lungs or your heart, you haven't been able to stop.
You give up social activities.You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations."
Addison's disease,"Addison's disease symptoms usually happen slowly, often over months. The disease may happen so slowly that people who have it might ignore the symptoms at first. Physical stress such as an illness or injury can make symptoms get worse fast.
Early symptoms of Addison's disease can affect you in various ways. Some early symptoms can cause discomfort or loss of energy, including:
Sweating due to low blood sugar, also called hypoglycemia.
Upset stomach, diarrhea or vomiting.
Pain in the stomach area, also called the abdomen.
Muscle cramps, weakness, widespread pain or joint pain.
Other early symptoms can cause changes in how you look, such as:
Body hair loss.
Areas of darkened skin, especially on scars and moles. These changes may be harder to see on Black or brown skin.
Weight loss due to less hunger.
Early Addison's disease symptoms also can affect emotions, mental health and desires. These symptoms include:
Irritable mood.
Salt craving."
Mesenteric lymphadenitis,"Possible symptoms of mesenteric lymphadenitis include:
Pain in the stomach area, often on the lower right side, but the pain can be more spread out.
General tenderness of the stomach area.
Fever.
Enlarged mesenteric lymph nodes.
Depending on what's causing the condition, symptoms also might include:
Diarrhea.
Nausea and vomiting."
Adenomyosis,"Sometimes, adenomyosis causes no signs or symptoms or only mild discomfort. However, adenomyosis can cause:
Heavy or prolonged menstrual bleeding
Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea)
Chronic pelvic pain
Painful intercourse (dyspareunia)"
Attention-deficit/hyperactivity disorder (ADHD) in children,"The main features of ADHD include not paying attention and being hyperactive and impulsive. ADHD symptoms usually start before age 12. In some children, they can be seen as early as 3 years of age. ADHD symptoms can be mild, moderate or severe. Symptoms need to be seen in two or more settings, such as at home and at school. The symptoms cause problems with development and daily life and may continue into adulthood.
There are three types of ADHD:
Predominately inattentive.In this type, most symptoms fall under inattention. This means having trouble focusing and staying on a task. It also includes trouble getting and staying organized.
Predominately hyperactive and impulsive.In this type, most symptoms involve being hyperactive and impulsive. Hyperactive means being too active and having too much energy. It may include disruptive behavior. Being impulsive means acting without thinking ahead about the results or effects of behavior."
Adult attention-deficit/hyperactivity disorder (ADHD),"Some people withADHDhave fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features ofADHDmay include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe.
Many adults withADHDaren't aware they have it — they just know that everyday tasks can be a challenge. Adults withADHDmay find it difficult to focus and prioritize, leading to missed deadlines and forgotten meetings or social plans. The inability to control impulses can range from impatience waiting in line or driving in traffic to mood swings and outbursts of anger.
AdultADHDsymptoms may include:
Impulsiveness
Disorganization and problems prioritizing
Poor time management skills
Problems focusing on a task
Trouble multitasking
Poor planning
Low frustration tolerance
Frequent mood swings
Problems following through and completing tasks
Hot temper
Trouble coping with stress"
Frozen shoulder,"Frozen shoulder typically develops slowly in three stages.
Freezing stage.Any movement of the shoulder causes pain, and the shoulder's ability to move becomes limited. This stage lasts from 2 to 9 months.
Frozen stage.Pain might lessen during this stage. However, the shoulder becomes stiffer. Using it becomes more difficult. This stage lasts from 4 to 12 months.
Thawing stage.The shoulder's ability to move begins to improve. This stage lasts from 5 to 24 months.
For some people, the pain worsens at night, sometimes disrupting sleep."
Adjustment disorders,"Adjustment disorders affect how you feel and think about yourself and the world. They also may affect your actions or behavior.
Feeling sad, hopeless or not enjoying things you used to enjoy.
Crying often.
Feeling irritable or like you can't handle anything and don't know where to start.
Having trouble sleeping.
Not eating enough.
Having difficulty concentrating.
Having difficulty with daily activities.
Withdrawing from family and friends who support you socially.
Not doing important things, such as going to work or paying bills.
Thinking about suicide or acting on those thoughts."
Adnexal tumors and masses,"Nausea and vomiting.
Constipation or bloating.
Urinating a lot or having trouble urinating.
Bleeding from the vagina that is out of the ordinary.
Fever."
Childhood schizophrenia,"Schizophrenia involves a range of problems with thinking, behavior or emotions. Signs and symptoms may vary, but usually involve delusions, hallucinations or disorganized speech, and reflect an impaired ability to function. The effect can be disabling.
Symptoms can vary in type and severity over time, with periods of worsening and remission of symptoms. Some symptoms may always be present. Schizophrenia can be difficult to recognize in the early phases."
Adrenal cancer,"Signs and symptoms of adrenal cancer may include:
Back pain.
Belly pain.
Losing weight without trying.
Loss of appetite.
Weight gain.
Muscle weakness.
Pink or purple stretch marks on the skin.
Bruises that happen even with a small injury.
High blood sugar or diabetes."
Benign adrenal tumors,"Symptoms depend on whether the tumor makes hormones, what hormone it makes and how much it makes. But many benign adrenal gland tumors don't cause symptoms because they don't make hormones.
Weight gain.
Easy bruising.
Diabetes.
Tiredness.
Muscle weakness or cramping.
A type of benign adrenal tumor from the medulla is called pheochromocytoma. It might cause the following symptoms:
Fast heartbeat.
Sweating.
Tremors.
Headache."
Adrenoleukodystrophy,
Adult attention-deficit/hyperactivity disorder (ADHD),"Some people withADHDhave fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features ofADHDmay include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe.
Many adults withADHDaren't aware they have it — they just know that everyday tasks can be a challenge. Adults withADHDmay find it difficult to focus and prioritize, leading to missed deadlines and forgotten meetings or social plans. The inability to control impulses can range from impatience waiting in line or driving in traffic to mood swings and outbursts of anger.
AdultADHDsymptoms may include:
Impulsiveness
Disorganization and problems prioritizing
Poor time management skills
Problems focusing on a task
Trouble multitasking
Poor planning
Low frustration tolerance
Frequent mood swings
Problems following through and completing tasks
Hot temper
Trouble coping with stress"
Adult Still disease,"Most people with adult Still disease have a combination of the following symptoms:
Fever.Fever may rise to at least 102 degrees Fahrenheit (38.9 degrees Celsius). The fever may spike once or twice a day for a week or longer.
Rash.A rash might come and go with the fever. The rash usually appears on the trunk, arms or legs.
Sore throat.This is one of the first symptoms of adult Still disease. The lymph nodes in the neck might be swollen and tender.
Achy and swollen joints.Joints — especially in the knees and wrists— might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders also might ache. The joint discomfort usually lasts at least two weeks.
Muscle pain.Muscular pain usually comes and goes with the fever. The pain can be severe enough to disrupt daily activities.
Symptoms of this disorder can differ from person to person. They can mimic those of other conditions, including lupus and a type of cancer called lymphoma."
Autoimmune encephalitis,"Autoimmune encephalitis symptoms can vary from person to person. But symptoms can occur in a pattern that is predictable depending on the type of autoimmune encephalitis. Many people have a headache, fever and other symptoms of an infection followed by:
Trouble with memory.
Trouble with language, such as talking less or repeating words or phrases.
Movements that are not voluntary.
Seizures.
Changes in consciousness.
Sometimes AE causes serious seizures that need emergency care, known as status epilepticus. These seizures last more than five minutes or occur one after another while the person is not conscious."
Acute flaccid myelitis (AFM),"The most common signs and symptoms of acute flaccid myelitis include:
Other possible signs and symptoms include:
Uncommon symptoms might include:
Sudden arm or leg weakness
Sudden loss of muscle tone
Difficulty moving the eyes or drooping eyelids
Facial droop or weakness
Difficulty with swallowing or slurred speech
Pain in the arms, legs, neck or back
Numbness or tingling
Inability to pass urine"
Age spots (liver spots),"Age spots:
Are flat, oval areas of increased pigmentation.
Are usually tan to dark brown.
Range from freckle size to about 1/2 inch (13 millimeters) across.
Can group together, making them more noticeable."
Dry macular degeneration,"Dry macular degeneration symptoms usually develop gradually and without pain. They may include:
Visual distortions, such as straight lines seeming bent.
Reduced central vision in one or both eyes.
The need for brighter light when reading or doing close-up work.
Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater.
Increased blurriness of printed words.
Difficulty recognizing faces.
A well-defined blurry spot or blind spot in the field of vision.
Dry macular degeneration can affect one or both eyes. If only one eye is affected, you may not notice any changes in your vision. This is because your good eye may compensate for the affected eye. And the condition doesn't affect the side vision, so it does not cause total blindness.
Dry macular degeneration is one of two types of age-related macular degeneration. It can progress to wet macular degeneration, which is when blood vessels grow and leak under the retina. The dry type is more common, but it usually progresses slowly over years. The wet type is more likely to cause a relatively sudden change in vision resulting in serious vision loss."
"Macular degeneration, wet","Wet macular degeneration symptoms usually appear suddenly and worsen quickly. They may include:
Visual distortions, such as straight lines that seem to be bent.
Reduced central vision in one or both eyes.
The need for brighter light when reading or doing close-up work.
Difficulty adjusting to low light levels, such as when entering a dimly lit restaurant or theater.
Increased blurriness of printed words.
Difficulty recognizing faces.
A well-defined blurry spot or blind spot in the field of vision.
Macular degeneration doesn't affect side vision, so it doesn't cause total blindness."
Myelofibrosis,"Myelofibrosis signs and symptoms may include:
Feeling tired, weak or short of breath.
Pain or fullness below the ribs on the left side.
Easy bruising.
Easy bleeding.
Sweating a lot while sleeping, so that you wake feeling covered in sweat.
Fever.
Bone pain.
Feeling full after eating a small amount of food."
Agoraphobia,"Typical agoraphobia symptoms include fear of:
Leaving home alone.
Crowds or waiting in line.
Enclosed spaces, such as movie theaters, elevators or small stores.
Open spaces, such as parking lots, bridges or malls.
Using public transportation, such as a bus, plane or train.
In addition:"
Guillain-Barre syndrome,"Guillain-Barre syndrome often begins with tingling and weakness starting in the feet and legs and spreading to the upper body and arms. Some people notice the first symptoms in the arms or face. As Guillain-Barre syndrome progresses, muscle weakness can turn into paralysis.
Symptoms of Guillain-Barre syndrome may include:
A pins and needles feeling in the fingers, toes, ankles or wrists.
Weakness in the legs that spreads to the upper body.
Unsteady walk or not being able to walk or climb stairs.
Trouble with facial movements, including speaking, chewing or swallowing.
Double vision or inability to move the eyes.
Severe pain that may feel achy, shooting or cramplike and may be worse at night.
Trouble with bladder control or bowel function.
Rapid heart rate.
Trouble breathing."
HIV/AIDS,The symptoms ofHIVandAIDSvary depending on the person and the phase of infection.
Airplane ear,"Airplane ear can happen in one or both ears. Common symptoms of airplane ear include:
Symptoms of severe airplane ear might include:
Discomfort in the ear.
Feeling of fullness or stuffiness in the ear.
Muffled hearing or some hearing loss.
Severe pain.
Worse hearing loss.
Ringing in the ear, called tinnitus.
Feeling of spinning, called vertigo.
Bleeding from the ear."
Albinism,"Symptoms of albinism involve skin, hair and eye color, as well as vision."
Alcohol use disorder,"Being unable to limit the amount of alcohol you drink
Wanting to cut down on how much you drink or making unsuccessful attempts to do so
Spending a lot of time drinking, getting alcohol or recovering from alcohol use
Feeling a strong craving or urge to drink alcohol
Failing to fulfill major obligations at work, school or home due to repeated alcohol use
Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems
Giving up or reducing social and work activities and hobbies to use alcohol
Using alcohol in situations where it's not safe, such as when driving or swimming
Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount"
Alcohol intolerance,"Signs and symptoms of alcohol intolerance — or of a reaction to ingredients in an alcoholic beverage — can include:
Facial redness (flushing)
Red, itchy skin bumps (hives)
Runny or stuffy nose
Nausea and vomiting
Diarrhea"
Alcohol poisoning,"Alcohol poisoning symptoms include:
Confusion.
Vomiting.
Seizures.
Slow breathing, which is fewer than eight breaths a minute.
Breathing that's not regular. This is when there is a gap of more than 10 seconds between breaths.
Skin that looks blue, gray or pale.
Low body temperature, also known as hypothermia.
Trouble staying conscious or awake."
Alcohol use disorder,"Being unable to limit the amount of alcohol you drink
Wanting to cut down on how much you drink or making unsuccessful attempts to do so
Spending a lot of time drinking, getting alcohol or recovering from alcohol use
Feeling a strong craving or urge to drink alcohol
Failing to fulfill major obligations at work, school or home due to repeated alcohol use
Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems
Giving up or reducing social and work activities and hobbies to use alcohol
Using alcohol in situations where it's not safe, such as when driving or swimming
Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount"
Alcoholic hepatitis,"The most common sign of alcoholic hepatitis is yellowing of the skin and whites of the eyes, called jaundice. The yellowing of the skin might be harder to see on Black and brown people.
Other symptoms include:
Loss of appetite.
Nausea and vomiting.
Belly tenderness.
Fever, often low grade.
Tiredness and weakness.
People with alcoholic hepatitis tend to be malnourished. Drinking large amounts of alcohol keeps people from being hungry. And heavy drinkers get most of their calories from alcohol.
Other symptoms that happen with severe alcoholic hepatitis include:
Fluid buildup in the belly, called ascites.
Kidney and liver failure."
Alcoholic hepatitis,"The most common sign of alcoholic hepatitis is yellowing of the skin and whites of the eyes, called jaundice. The yellowing of the skin might be harder to see on Black and brown people.
Other symptoms include:
Loss of appetite.
Nausea and vomiting.
Belly tenderness.
Fever, often low grade.
Tiredness and weakness.
People with alcoholic hepatitis tend to be malnourished. Drinking large amounts of alcohol keeps people from being hungry. And heavy drinkers get most of their calories from alcohol.
Other symptoms that happen with severe alcoholic hepatitis include:
Fluid buildup in the belly, called ascites.
Kidney and liver failure."
Churg-Strauss syndrome,"Churg-Strauss syndrome varies greatly from person to person. Some people have only mild symptoms. Others have severe or life-threatening complications.
Also known as EGPA, the syndrome tends to occur in three stages and gets progressively worse. Almost everyone with the condition has asthma, chronic sinusitis and elevated counts of white blood cells called eosinophils.
Other signs and symptoms might include:
Loss of appetite and weight loss
Joint and muscle pain
Abdominal pain and gastrointestinal bleeding
Weakness, fatigue or a general feeling of being unwell
Rash or skin sores
Pain, numbness, and tingling in your hands and feet"
Churg-Strauss syndrome,"Churg-Strauss syndrome varies greatly from person to person. Some people have only mild symptoms. Others have severe or life-threatening complications.
Also known as EGPA, the syndrome tends to occur in three stages and gets progressively worse. Almost everyone with the condition has asthma, chronic sinusitis and elevated counts of white blood cells called eosinophils.
Other signs and symptoms might include:
Loss of appetite and weight loss
Joint and muscle pain
Abdominal pain and gastrointestinal bleeding
Weakness, fatigue or a general feeling of being unwell
Rash or skin sores
Pain, numbness, and tingling in your hands and feet"
Hay fever,"Hay fever symptoms can include:
Runny nose and nasal stuffiness, called congestion.
Watery, itchy, red eyes.
Sneezing.
Cough.
Itchy nose, roof of mouth or throat.
Mucus that runs down the back of the throat, called postnasal drip.
Swollen, bruised-appearing skin under the eyes, known as allergic shiners."
